pos:C,name:Terry Steinbach,age:37,games:101,plate_appearances:380,at_bats:338,runs:35,hits:96,doubles:16,triples:4,home_runs:4,runs_batted_in:42,stolen_bases:2,caught_stealing:2,walks:38,strikeouts:54,batting_avg:.284,onbase:.358,slugging:.391,ops:erc">.391,ops+:lugging">.748,bases:132,double_plays:10,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:1
pos:1B,name:Doug Mientkiewicz,age:25,games:118,plate_appearances:379,at_bats:327,runs:34,hits:75,doubles:21,triples:3,home_runs:2,runs_batted_in:32,stolen_bases:1,caught_stealing:1,walks:43,strikeouts:51,batting_avg:.229,onbase:.324,slugging:.330,ops:erc">.330,ops+:lugging">.655,bases:108,double_plays:13,hit_by_pitch:4,sac_hits:3,sac_flies:2,intentional_walks:3
pos:2B,name:Todd Walker,age:26,games:143,plate_appearances:586,at_bats:531,runs:62,hits:148,doubles:37,triples:4,home_runs:6,runs_batted_in:46,stolen_bases:18,caught_stealing:10,walks:52,strikeouts:83,batting_avg:.279,onbase:.343,slugging:.397,ops:erc">.397,ops+:lugging">.740,bases:211,double_plays:15,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:5
pos:SS,name:Cristian Guzman,age:21,games:131,plate_appearances:456,at_bats:420,runs:47,hits:95,doubles:12,triples:3,home_runs:1,runs_batted_in:26,stolen_bases:9,caught_stealing:7,walks:22,strikeouts:90,batting_avg:.226,onbase:.267,slugging:.276,ops:erc">.276,ops+:lugging">.543,bases:116,double_plays:5,hit_by_pitch:3,sac_hits:7,sac_flies:4,intentional_walks:0
pos:3B,name:Corey Koskie,age:26,games:117,plate_appearances:392,at_bats:342,runs:42,hits:106,doubles:21,triples:0,home_runs:11,runs_batted_in:58,stolen_bases:4,caught_stealing:4,walks:40,strikeouts:72,batting_avg:.310,onbase:.387,slugging:.468,ops:erc">.468,ops+:lugging">.855,bases:160,double_plays:6,hit_by_pitch:5,sac_hits:2,sac_flies:3,intentional_walks:4
pos:LF,name:Chad Allen,age:24,games:137,plate_appearances:523,at_bats:481,runs:69,hits:133,doubles:21,triples:3,home_runs:10,runs_batted_in:46,stolen_bases:14,caught_stealing:7,walks:37,strikeouts:89,batting_avg:.277,onbase:.330,slugging:.395,ops:erc">.395,ops+:lugging">.725,bases:190,double_plays:10,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:1
pos:CF,name:Torii Hunter,age:23,games:135,plate_appearances:422,at_bats:384,runs:52,hits:98,doubles:17,triples:2,home_runs:9,runs_batted_in:35,stolen_bases:10,caught_stealing:6,walks:26,strikeouts:72,batting_avg:.255,onbase:.309,slugging:.380,ops:erc">.380,ops+:lugging">.689,bases:146,double_plays:9,hit_by_pitch:6,sac_hits:1,sac_flies:5,intentional_walks:1
pos:RF,name:Matt Lawton,age:27,games:118,plate_appearances:476,at_bats:406,runs:58,hits:105,doubles:18,triples:0,home_runs:7,runs_batted_in:54,stolen_bases:26,caught_stealing:4,walks:57,strikeouts:42,batting_avg:.259,onbase:.353,slugging:.355,ops:erc">.355,ops+:lugging">.708,bases:144,double_plays:11,hit_by_pitch:6,sac_hits:0,sac_flies:7,intentional_walks:7
pos:DH,name:Marty Cordova,age:29,games:124,plate_appearances:488,at_bats:425,runs:62,hits:121,doubles:28,triples:3,home_runs:14,runs_batted_in:70,stolen_bases:13,caught_stealing:4,walks:48,strikeouts:96,batting_avg:.285,onbase:.365,slugging:.464,ops:erc">.464,ops+:lugging">.828,bases:197,double_plays:22,hit_by_pitch:9,sac_hits:0,sac_flies:6,intentional_walks:2
pos:CI,name:Ron Coomer,age:32,games:127,plate_appearances:501,at_bats:467,runs:53,hits:123,doubles:25,triples:1,home_runs:16,runs_batted_in:65,stolen_bases:2,caught_stealing:1,walks:30,strikeouts:69,batting_avg:.263,onbase:.307,slugging:.424,ops:erc">.424,ops+:lugging">.731,bases:198,double_plays:16,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:1
pos:MI,name:Denny Hocking,age:29,games:136,plate_appearances:421,at_bats:386,runs:47,hits:103,doubles:18,triples:2,home_runs:7,runs_batted_in:41,stolen_bases:11,caught_stealing:7,walks:22,strikeouts:54,batting_avg:.267,onbase:.307,slugging:.378,ops:erc">.378,ops+:lugging">.685,bases:146,double_plays:10,hit_by_pitch:3,sac_hits:4,sac_flies:6,intentional_walks:1
