pos:C,name:Mike Redmond,age:28,games:84,plate_appearances:278,at_bats:242,runs:22,hits:73,doubles:9,triples:0,home_runs:1,runs_batted_in:27,stolen_bases:0,caught_stealing:0,walks:26,strikeouts:34,batting_avg:.302,onbase:.381,slugging:.351,ops:erc">.351,ops+:lugging">.732,bases:85,double_plays:8,hit_by_pitch:5,sac_hits:5,sac_flies:0,intentional_walks:2
pos:1B,name:Kevin Millar,age:27,games:105,plate_appearances:407,at_bats:351,runs:48,hits:100,doubles:17,triples:4,home_runs:9,runs_batted_in:67,stolen_bases:1,caught_stealing:0,walks:40,strikeouts:64,batting_avg:.285,onbase:.362,slugging:.433,ops:erc">.433,ops+:lugging">.795,bases:152,double_plays:7,hit_by_pitch:7,sac_hits:1,sac_flies:8,intentional_walks:2
pos:2B,name:Luis Castillo,age:23,games:128,plate_appearances:563,at_bats:487,runs:76,hits:147,doubles:23,triples:4,home_runs:0,runs_batted_in:28,stolen_bases:50,caught_stealing:17,walks:67,strikeouts:85,batting_avg:.302,onbase:.384,slugging:.366,ops:erc">.366,ops+:lugging">.750,bases:178,double_plays:3,hit_by_pitch:0,sac_hits:6,sac_flies:3,intentional_walks:0
pos:SS,name:Alex Gonzalez,age:22,games:136,plate_appearances:591,at_bats:560,runs:81,hits:155,doubles:28,triples:8,home_runs:14,runs_batted_in:59,stolen_bases:3,caught_stealing:5,walks:15,strikeouts:113,batting_avg:.277,onbase:.308,slugging:.430,ops:erc">.430,ops+:lugging">.739,bases:241,double_plays:13,hit_by_pitch:12,sac_hits:1,sac_flies:3,intentional_walks:0
pos:3B,name:Mike Lowell,age:25,games:97,plate_appearances:344,at_bats:308,runs:32,hits:78,doubles:15,triples:0,home_runs:12,runs_batted_in:47,stolen_bases:0,caught_stealing:0,walks:26,strikeouts:69,batting_avg:.253,onbase:.317,slugging:.419,ops:erc">.419,ops+:lugging">.736,bases:129,double_plays:8,hit_by_pitch:5,sac_hits:0,sac_flies:5,intentional_walks:1
pos:LF,name:Bruce Aven,age:27,games:137,plate_appearances:440,at_bats:381,runs:57,hits:110,doubles:19,triples:2,home_runs:12,runs_batted_in:70,stolen_bases:3,caught_stealing:0,walks:44,strikeouts:82,batting_avg:.289,onbase:.370,slugging:.444,ops:erc">.444,ops+:lugging">.814,bases:169,double_plays:6,hit_by_pitch:9,sac_hits:0,sac_flies:6,intentional_walks:1
pos:CF,name:Preston Wilson,age:24,games:149,plate_appearances:543,at_bats:482,runs:67,hits:135,doubles:21,triples:4,home_runs:26,runs_batted_in:71,stolen_bases:11,caught_stealing:4,walks:46,strikeouts:156,batting_avg:.280,onbase:.350,slugging:.502,ops:erc">.502,ops+:lugging">.852,bases:242,double_plays:15,hit_by_pitch:9,sac_hits:0,sac_flies:6,intentional_walks:3
pos:RF,name:Mark Kotsay,age:23,games:148,plate_appearances:535,at_bats:495,runs:57,hits:134,doubles:23,triples:9,home_runs:8,runs_batted_in:50,stolen_bases:7,caught_stealing:6,walks:29,strikeouts:50,batting_avg:.271,onbase:.306,slugging:.402,ops:erc">.402,ops+:lugging">.708,bases:199,double_plays:11,hit_by_pitch:0,sac_hits:2,sac_flies:9,intentional_walks:5
pos:MI,name:Dave Berg,age:28,games:109,plate_appearances:336,at_bats:304,runs:42,hits:87,doubles:18,triples:1,home_runs:3,runs_batted_in:25,stolen_bases:2,caught_stealing:2,walks:27,strikeouts:59,batting_avg:.286,onbase:.348,slugging:.382,ops:erc">.382,ops+:lugging">.730,bases:116,double_plays:7,hit_by_pitch:2,sac_hits:3,sac_flies:0,intentional_walks:0
pos:LF,name:Cliff Floyd,age:26,games:69,plate_appearances:285,at_bats:251,runs:37,hits:76,doubles:19,triples:1,home_runs:11,runs_batted_in:49,stolen_bases:5,caught_stealing:6,walks:30,strikeouts:47,batting_avg:.303,onbase:.379,slugging:.518,ops:erc">.518,ops+:lugging">.897,bases:130,double_plays:8,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:5
pos:3B,name:Kevin Orie,age:26,games:77,plate_appearances:267,at_bats:240,runs:26,hits:61,doubles:16,triples:0,home_runs:6,runs_batted_in:29,stolen_bases:1,caught_stealing:0,walks:22,strikeouts:43,batting_avg:.254,onbase:.322,slugging:.396,ops:erc">.396,ops+:lugging">.718,bases:95,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:1
