pos:C,name:Gregg Zaun,age:27,games:106,plate_appearances:338,at_bats:298,runs:19,hits:56,doubles:12,triples:2,home_runs:5,runs_batted_in:29,stolen_bases:5,caught_stealing:2,walks:35,strikeouts:52,batting_avg:.188,onbase:.274,slugging:.292,ops:erc">.292,ops+:lugging">.566,bases:87,double_plays:7,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:2
pos:1B,name:Derrek Lee,age:22,games:141,plate_appearances:513,at_bats:454,runs:62,hits:106,doubles:29,triples:1,home_runs:17,runs_batted_in:74,stolen_bases:5,caught_stealing:2,walks:47,strikeouts:120,batting_avg:.233,onbase:.318,slugging:.414,ops:erc">.414,ops+:lugging">.732,bases:188,double_plays:12,hit_by_pitch:10,sac_hits:0,sac_flies:2,intentional_walks:1
pos:2B,name:Craig Counsell,age:27,games:107,plate_appearances:400,at_bats:335,runs:43,hits:84,doubles:19,triples:5,home_runs:4,runs_batted_in:40,stolen_bases:3,caught_stealing:0,walks:51,strikeouts:47,batting_avg:.251,onbase:.355,slugging:.373,ops:erc">.373,ops+:lugging">.729,bases:125,double_plays:5,hit_by_pitch:4,sac_hits:8,sac_flies:1,intentional_walks:7
pos:SS,name:Edgar Renteria,age:21,games:133,plate_appearances:580,at_bats:517,runs:79,hits:146,doubles:18,triples:2,home_runs:3,runs_batted_in:31,stolen_bases:41,caught_stealing:22,walks:48,strikeouts:78,batting_avg:.282,onbase:.347,slugging:.342,ops:erc">.342,ops+:lugging">.689,bases:177,double_plays:13,hit_by_pitch:4,sac_hits:9,sac_flies:2,intentional_walks:1
pos:3B,name:Todd Zeile,age:32,games:66,plate_appearances:270,at_bats:234,runs:37,hits:68,doubles:12,triples:1,home_runs:6,runs_batted_in:39,stolen_bases:2,caught_stealing:3,walks:31,strikeouts:34,batting_avg:.291,onbase:.374,slugging:.427,ops:erc">.427,ops+:lugging">.801,bases:100,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:2
pos:LF,name:Cliff Floyd,age:25,games:153,plate_appearances:641,at_bats:588,runs:85,hits:166,doubles:45,triples:3,home_runs:22,runs_batted_in:90,stolen_bases:27,caught_stealing:14,walks:47,strikeouts:112,batting_avg:.282,onbase:.337,slugging:.481,ops:erc">.481,ops+:lugging">.818,bases:283,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:7
pos:CF,name:Todd Dunwoody,age:23,games:116,plate_appearances:462,at_bats:434,runs:53,hits:109,doubles:27,triples:7,home_runs:5,runs_batted_in:28,stolen_bases:5,caught_stealing:1,walks:21,strikeouts:113,batting_avg:.251,onbase:.292,slugging:.380,ops:erc">.380,ops+:lugging">.672,bases:165,double_plays:6,hit_by_pitch:4,sac_hits:3,sac_flies:0,intentional_walks:0
pos:RF,name:Mark Kotsay,age:22,games:154,plate_appearances:623,at_bats:578,runs:72,hits:161,doubles:25,triples:7,home_runs:11,runs_batted_in:68,stolen_bases:10,caught_stealing:5,walks:34,strikeouts:61,batting_avg:.279,onbase:.318,slugging:.403,ops:erc">.403,ops+:lugging">.721,bases:233,double_plays:17,hit_by_pitch:1,sac_hits:7,sac_flies:3,intentional_walks:2
pos:1B,name:Ryan Jackson,age:26,games:111,plate_appearances:284,at_bats:260,runs:26,hits:65,doubles:15,triples:1,home_runs:5,runs_batted_in:31,stolen_bases:1,caught_stealing:1,walks:20,strikeouts:73,batting_avg:.250,onbase:.305,slugging:.373,ops:erc">.373,ops+:lugging">.678,bases:97,double_plays:3,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:IF,name:Dave Berg,age:27,games:81,plate_appearances:215,at_bats:182,runs:18,hits:57,doubles:11,triples:0,home_runs:2,runs_batted_in:21,stolen_bases:3,caught_stealing:0,walks:26,strikeouts:46,batting_avg:.313,onbase:.393,slugging:.407,ops:erc">.407,ops+:lugging">.800,bases:74,double_plays:1,hit_by_pitch:0,sac_hits:4,sac_flies:3,intentional_walks:1
pos:CF,name:John Cangelosi,age:35,games:104,plate_appearances:208,at_bats:171,runs:19,hits:43,doubles:8,triples:0,home_runs:1,runs_batted_in:10,stolen_bases:2,caught_stealing:3,walks:30,strikeouts:23,batting_avg:.251,onbase:.365,slugging:.316,ops:erc">.316,ops+:lugging">.680,bases:54,double_plays:5,hit_by_pitch:1,sac_hits:5,sac_flies:1,intentional_walks:0
