pos:C,name:Jason Kendall,age:32,games:143,plate_appearances:626,at_bats:552,runs:76,hits:163,doubles:23,triples:0,home_runs:1,runs_batted_in:50,stolen_bases:11,caught_stealing:5,walks:53,strikeouts:54,batting_avg:.295,onbase:.367,slugging:.342,ops:erc">.342,ops+:lugging">.709,bases:189,double_plays:19,hit_by_pitch:12,sac_hits:4,sac_flies:5,intentional_walks:2
pos:1B,name:Dan Johnson,age:26,games:91,plate_appearances:331,at_bats:286,runs:30,hits:67,doubles:13,triples:1,home_runs:9,runs_batted_in:37,stolen_bases:0,caught_stealing:0,walks:40,strikeouts:45,batting_avg:.234,onbase:.323,slugging:.381,ops:erc">.381,ops+:lugging">.704,bases:109,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:5,intentional_walks:2
pos:2B,name:Mark Ellis,age:29,games:124,plate_appearances:500,at_bats:441,runs:64,hits:110,doubles:25,triples:1,home_runs:11,runs_batted_in:52,stolen_bases:4,caught_stealing:0,walks:40,strikeouts:76,batting_avg:.249,onbase:.319,slugging:.385,ops:erc">.385,ops+:lugging">.704,bases:170,double_plays:13,hit_by_pitch:8,sac_hits:4,sac_flies:7,intentional_walks:1
pos:SS,name:Bobby Crosby,age:26,games:96,plate_appearances:398,at_bats:358,runs:42,hits:82,doubles:12,triples:0,home_runs:9,runs_batted_in:40,stolen_bases:8,caught_stealing:1,walks:36,strikeouts:76,batting_avg:.229,onbase:.298,slugging:.338,ops:erc">.338,ops+:lugging">.636,bases:121,double_plays:11,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:1
pos:3B,name:Eric Chavez,age:28,games:137,plate_appearances:576,at_bats:485,runs:74,hits:117,doubles:24,triples:2,home_runs:22,runs_batted_in:72,stolen_bases:3,caught_stealing:0,walks:84,strikeouts:100,batting_avg:.241,onbase:.351,slugging:.435,ops:erc">.435,ops+:lugging">.786,bases:211,double_plays:19,hit_by_pitch:1,sac_hits:0,sac_flies:6,intentional_walks:6
pos:LF,name:Nick Swisher,age:25,games:157,plate_appearances:672,at_bats:556,runs:106,hits:141,doubles:24,triples:2,home_runs:35,runs_batted_in:95,stolen_bases:1,caught_stealing:2,walks:97,strikeouts:152,batting_avg:.254,onbase:.372,slugging:.493,ops:erc">.493,ops+:lugging">.864,bases:274,double_plays:13,hit_by_pitch:11,sac_hits:2,sac_flies:6,intentional_walks:7
pos:CF,name:Mark Kotsay,age:30,games:129,plate_appearances:558,at_bats:502,runs:57,hits:138,doubles:29,triples:3,home_runs:7,runs_batted_in:59,stolen_bases:6,caught_stealing:3,walks:44,strikeouts:55,batting_avg:.275,onbase:.332,slugging:.386,ops:erc">.386,ops+:lugging">.719,bases:194,double_plays:18,hit_by_pitch:2,sac_hits:4,sac_flies:6,intentional_walks:1
pos:RF,name:Milton Bradley,age:28,games:96,plate_appearances:405,at_bats:351,runs:53,hits:97,doubles:14,triples:2,home_runs:14,runs_batted_in:52,stolen_bases:10,caught_stealing:2,walks:51,strikeouts:65,batting_avg:.276,onbase:.370,slugging:.447,ops:erc">.447,ops+:lugging">.818,bases:157,double_plays:13,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:DH,name:Frank Thomas,age:38,games:137,plate_appearances:559,at_bats:466,runs:77,hits:126,doubles:11,triples:0,home_runs:39,runs_batted_in:114,stolen_bases:0,caught_stealing:0,walks:81,strikeouts:81,batting_avg:.270,onbase:.381,slugging:.545,ops:erc">.545,ops+:lugging">.926,bases:254,double_plays:13,hit_by_pitch:6,sac_hits:0,sac_flies:6,intentional_walks:3
pos:OF,name:Jay Payton,age:33,games:142,plate_appearances:588,at_bats:557,runs:78,hits:165,doubles:32,triples:3,home_runs:10,runs_batted_in:59,stolen_bases:8,caught_stealing:4,walks:22,strikeouts:52,batting_avg:.296,onbase:.325,slugging:.418,ops:erc">.418,ops+:lugging">.743,bases:233,double_plays:12,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:1
pos:MI,name:Marco Scutaro,age:30,games:117,plate_appearances:423,at_bats:365,runs:52,hits:97,doubles:21,triples:6,home_runs:5,runs_batted_in:41,stolen_bases:5,caught_stealing:1,walks:50,strikeouts:66,batting_avg:.266,onbase:.350,slugging:.397,ops:erc">.397,ops+:lugging">.747,bases:145,double_plays:16,hit_by_pitch:0,sac_hits:3,sac_flies:5,intentional_walks:0
pos:OF,name:Bobby Kielty,age:29,games:81,plate_appearances:297,at_bats:270,runs:35,hits:73,doubles:20,triples:1,home_runs:8,runs_batted_in:36,stolen_bases:2,caught_stealing:0,walks:22,strikeouts:49,batting_avg:.270,onbase:.329,slugging:.441,ops:erc">.441,ops+:lugging">.770,bases:119,double_plays:9,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:0
pos:C,name:Adam Melhuse,age:34,games:49,plate_appearances:139,at_bats:128,runs:10,hits:28,doubles:8,triples:0,home_runs:4,runs_batted_in:18,stolen_bases:0,caught_stealing:1,walks:9,strikeouts:34,batting_avg:.219,onbase:.273,slugging:.375,ops:erc">.375,ops+:lugging">.648,bases:48,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:DH,name:Antonio Perez,age:26,games:57,plate_appearances:109,at_bats:98,runs:10,hits:10,doubles:5,triples:1,home_runs:1,runs_batted_in:8,stolen_bases:0,caught_stealing:1,walks:10,strikeouts:44,batting_avg:.102,onbase:.185,slugging:.204,ops:erc">.204,ops+:lugging">.389,bases:20,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:2B,name:Mike Rouse,age:26,games:8,plate_appearances:26,at_bats:24,runs:2,hits:7,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.292,onbase:.346,slugging:.417,ops:erc">.417,ops+:lugging">.763,bases:10,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:D'Angelo Jimenez,age:28,games:8,plate_appearances:20,at_bats:14,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:7,batting_avg:.071,onbase:.350,slugging:.071,ops:erc">.071,ops+:lugging">.421,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:2
pos:OF,name:Hiram Bocachica,age:30,games:8,plate_appearances:16,at_bats:13,runs:3,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.231,onbase:.375,slugging:.231,ops:erc">.231,ops+:lugging">.606,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Jeremy Brown,age:26,games:5,plate_appearances:11,at_bats:10,runs:1,hits:3,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.300,onbase:.364,slugging:.500,ops:erc">.500,ops+:lugging">.864,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Doug Clark,age:30,games:6,plate_appearances:6,at_bats:6,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.167,onbase:.167,slugging:.167,ops:erc">.167,ops+:lugging">.333,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dan Haren,age:25,games:3,plate_appearances:7,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
