pos:C,name:Dave Nilsson,age:29,games:115,plate_appearances:404,at_bats:343,runs:56,hits:106,doubles:19,triples:1,home_runs:21,runs_batted_in:62,stolen_bases:1,caught_stealing:2,walks:53,strikeouts:64,batting_avg:.309,onbase:.400,slugging:.554,ops:erc">.554,ops+:lugging">.954,bases:190,double_plays:7,hit_by_pitch:2,sac_hits:2,sac_flies:4,intentional_walks:6
pos:1B,name:Mark Loretta,age:27,games:153,plate_appearances:664,at_bats:587,runs:93,hits:170,doubles:34,triples:5,home_runs:5,runs_batted_in:67,stolen_bases:4,caught_stealing:1,walks:52,strikeouts:59,batting_avg:.290,onbase:.354,slugging:.390,ops:erc">.390,ops+:lugging">.744,bases:229,double_plays:14,hit_by_pitch:10,sac_hits:9,sac_flies:6,intentional_walks:1
pos:2B,name:Ronnie Belliard,age:24,games:124,plate_appearances:531,at_bats:457,runs:60,hits:135,doubles:29,triples:4,home_runs:8,runs_batted_in:58,stolen_bases:4,caught_stealing:5,walks:64,strikeouts:59,batting_avg:.295,onbase:.379,slugging:.429,ops:erc">.429,ops+:lugging">.808,bases:196,double_plays:16,hit_by_pitch:0,sac_hits:6,sac_flies:4,intentional_walks:0
pos:SS,name:Jose Valentin,age:29,games:89,plate_appearances:313,at_bats:256,runs:45,hits:58,doubles:9,triples:5,home_runs:10,runs_batted_in:38,stolen_bases:3,caught_stealing:2,walks:48,strikeouts:52,batting_avg:.227,onbase:.347,slugging:.418,ops:erc">.418,ops+:lugging">.765,bases:107,double_plays:3,hit_by_pitch:2,sac_hits:2,sac_flies:5,intentional_walks:7
pos:3B,name:Jeff Cirillo,age:29,games:157,plate_appearances:697,at_bats:607,runs:98,hits:198,doubles:35,triples:1,home_runs:15,runs_batted_in:88,stolen_bases:7,caught_stealing:4,walks:75,strikeouts:83,batting_avg:.326,onbase:.401,slugging:.461,ops:erc">.461,ops+:lugging">.862,bases:280,double_plays:15,hit_by_pitch:5,sac_hits:3,sac_flies:7,intentional_walks:4
pos:LF,name:Geoff Jenkins,age:24,games:135,plate_appearances:493,at_bats:447,runs:70,hits:140,doubles:43,triples:3,home_runs:21,runs_batted_in:82,stolen_bases:5,caught_stealing:1,walks:35,strikeouts:87,batting_avg:.313,onbase:.371,slugging:.564,ops:erc">.564,ops+:lugging">.935,bases:252,double_plays:10,hit_by_pitch:7,sac_hits:3,sac_flies:1,intentional_walks:7
pos:CF,name:Marquis Grissom,age:32,games:154,plate_appearances:661,at_bats:603,runs:92,hits:161,doubles:27,triples:1,home_runs:20,runs_batted_in:83,stolen_bases:24,caught_stealing:6,walks:49,strikeouts:109,batting_avg:.267,onbase:.320,slugging:.415,ops:erc">.415,ops+:lugging">.734,bases:250,double_plays:12,hit_by_pitch:0,sac_hits:4,sac_flies:5,intentional_walks:4
pos:RF,name:Jeromy Burnitz,age:30,games:130,plate_appearances:580,at_bats:467,runs:87,hits:126,doubles:33,triples:2,home_runs:33,runs_batted_in:103,stolen_bases:7,caught_stealing:3,walks:91,strikeouts:124,batting_avg:.270,onbase:.402,slugging:.561,ops:erc">.561,ops+:lugging">.963,bases:262,double_plays:11,hit_by_pitch:16,sac_hits:0,sac_flies:6,intentional_walks:7
pos:OF,name:Alex Ochoa,age:27,games:119,plate_appearances:329,at_bats:277,runs:47,hits:83,doubles:16,triples:3,home_runs:8,runs_batted_in:40,stolen_bases:6,caught_stealing:4,walks:45,strikeouts:43,batting_avg:.300,onbase:.404,slugging:.466,ops:erc">.466,ops+:lugging">.870,bases:129,double_plays:4,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:2
pos:1B,name:Sean Berry,age:33,games:106,plate_appearances:281,at_bats:259,runs:26,hits:59,doubles:11,triples:1,home_runs:2,runs_batted_in:23,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:50,batting_avg:.228,onbase:.281,slugging:.301,ops:erc">.301,ops+:lugging">.582,bases:78,double_plays:4,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:0
pos:UT,name:Brian Banks,age:28,games:105,plate_appearances:249,at_bats:219,runs:34,hits:53,doubles:7,triples:1,home_runs:5,runs_batted_in:22,stolen_bases:6,caught_stealing:1,walks:25,strikeouts:59,batting_avg:.242,onbase:.317,slugging:.352,ops:erc">.352,ops+:lugging">.669,bases:77,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:2,intentional_walks:5
pos:2B,name:Fernando Vina,age:30,games:37,plate_appearances:177,at_bats:154,runs:17,hits:41,doubles:7,triples:0,home_runs:1,runs_batted_in:16,stolen_bases:5,caught_stealing:2,walks:14,strikeouts:6,batting_avg:.266,onbase:.339,slugging:.331,ops:erc">.331,ops+:lugging">.670,bases:51,double_plays:1,hit_by_pitch:4,sac_hits:3,sac_flies:2,intentional_walks:0
pos:OF,name:Rich Becker,age:27,games:89,plate_appearances:174,at_bats:139,runs:15,hits:35,doubles:5,triples:2,home_runs:5,runs_batted_in:16,stolen_bases:5,caught_stealing:0,walks:33,strikeouts:38,batting_avg:.252,onbase:.395,slugging:.424,ops:erc">.424,ops+:lugging">.820,bases:59,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
