pos:C,name:Wiki Gonzalez,age:26,games:95,plate_appearances:319,at_bats:284,runs:25,hits:66,doubles:15,triples:1,home_runs:5,runs_batted_in:30,stolen_bases:1,caught_stealing:2,walks:30,strikeouts:31,batting_avg:.232,onbase:.311,slugging:.345,ops:erc">.345,ops+:lugging">.656,bases:98,double_plays:5,hit_by_pitch:3,sac_hits:1,sac_flies:1,intentional_walks:4
pos:1B,name:Ryan Klesko,age:29,games:145,plate_appearances:590,at_bats:494,runs:88,hits:140,doubles:33,triples:2,home_runs:26,runs_batted_in:92,stolen_bases:23,caught_stealing:7,walks:91,strikeouts:81,batting_avg:.283,onbase:.393,slugging:.516,ops:erc">.516,ops+:lugging">.909,bases:255,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:9
pos:2B,name:Bret Boone,age:31,games:127,plate_appearances:525,at_bats:463,runs:61,hits:116,doubles:18,triples:2,home_runs:19,runs_batted_in:74,stolen_bases:8,caught_stealing:4,walks:50,strikeouts:97,batting_avg:.251,onbase:.326,slugging:.421,ops:erc">.421,ops+:lugging">.747,bases:195,double_plays:11,hit_by_pitch:5,sac_hits:0,sac_flies:7,intentional_walks:7
pos:SS,name:Damian Jackson,age:26,games:138,plate_appearances:541,at_bats:470,runs:68,hits:120,doubles:27,triples:6,home_runs:6,runs_batted_in:37,stolen_bases:28,caught_stealing:6,walks:62,strikeouts:108,batting_avg:.255,onbase:.345,slugging:.377,ops:erc">.377,ops+:lugging">.721,bases:177,double_plays:7,hit_by_pitch:3,sac_hits:4,sac_flies:2,intentional_walks:2
pos:3B,name:Phil Nevin,age:29,games:143,plate_appearances:605,at_bats:538,runs:87,hits:163,doubles:34,triples:1,home_runs:31,runs_batted_in:107,stolen_bases:2,caught_stealing:0,walks:59,strikeouts:121,batting_avg:.303,onbase:.374,slugging:.543,ops:erc">.543,ops+:lugging">.916,bases:292,double_plays:17,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:9
pos:LF,name:Al Martin,age:32,games:93,plate_appearances:378,at_bats:346,runs:62,hits:106,doubles:13,triples:6,home_runs:11,runs_batted_in:27,stolen_bases:6,caught_stealing:8,walks:28,strikeouts:54,batting_avg:.306,onbase:.360,slugging:.474,ops:erc">.474,ops+:lugging">.834,bases:164,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:5
pos:CF,name:Ruben Rivera,age:26,games:135,plate_appearances:479,at_bats:423,runs:62,hits:88,doubles:18,triples:6,home_runs:17,runs_batted_in:57,stolen_bases:8,caught_stealing:4,walks:44,strikeouts:137,batting_avg:.208,onbase:.296,slugging:.400,ops:erc">.400,ops+:lugging">.696,bases:169,double_plays:8,hit_by_pitch:10,sac_hits:0,sac_flies:2,intentional_walks:1
pos:RF,name:Eric Owens,age:29,games:145,plate_appearances:636,at_bats:583,runs:87,hits:171,doubles:19,triples:7,home_runs:6,runs_batted_in:51,stolen_bases:29,caught_stealing:14,walks:45,strikeouts:63,batting_avg:.293,onbase:.346,slugging:.381,ops:erc">.381,ops+:lugging">.727,bases:222,double_plays:16,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:4
pos:RF,name:Mike Darr,age:24,games:58,plate_appearances:228,at_bats:205,runs:21,hits:55,doubles:14,triples:4,home_runs:1,runs_batted_in:30,stolen_bases:9,caught_stealing:1,walks:23,strikeouts:45,batting_avg:.268,onbase:.342,slugging:.390,ops:erc">.390,ops+:lugging">.732,bases:80,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Carlos Hernandez,age:33,games:58,plate_appearances:212,at_bats:191,runs:16,hits:48,doubles:11,triples:0,home_runs:2,runs_batted_in:25,stolen_bases:1,caught_stealing:3,walks:16,strikeouts:26,batting_avg:.251,onbase:.316,slugging:.340,ops:erc">.340,ops+:lugging">.656,bases:65,double_plays:4,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:1
pos:SS,name:Desi Relaford,age:26,games:45,plate_appearances:189,at_bats:157,runs:26,hits:32,doubles:2,triples:0,home_runs:2,runs_batted_in:16,stolen_bases:8,caught_stealing:0,walks:27,strikeouts:26,batting_avg:.204,onbase:.330,slugging:.255,ops:erc">.255,ops+:lugging">.585,bases:40,double_plays:3,hit_by_pitch:3,sac_hits:1,sac_flies:1,intentional_walks:0
