pos:C,name:Gary Bennett,age:31,games:96,plate_appearances:338,at_bats:307,runs:26,hits:73,doubles:15,triples:0,home_runs:2,runs_batted_in:42,stolen_bases:3,caught_stealing:0,walks:24,strikeouts:48,batting_avg:.238,onbase:.296,slugging:.306,ops:erc">.306,ops+:lugging">.602,bases:94,double_plays:8,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:3
pos:1B,name:Ryan Klesko,age:32,games:121,plate_appearances:474,at_bats:397,runs:47,hits:100,doubles:18,triples:0,home_runs:21,runs_batted_in:67,stolen_bases:2,caught_stealing:5,walks:65,strikeouts:83,batting_avg:.252,onbase:.354,slugging:.456,ops:erc">.456,ops+:lugging">.810,bases:181,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:9,intentional_walks:5
pos:2B,name:Mark Loretta,age:31,games:154,plate_appearances:653,at_bats:589,runs:74,hits:185,doubles:28,triples:4,home_runs:13,runs_batted_in:72,stolen_bases:5,caught_stealing:4,walks:54,strikeouts:62,batting_avg:.314,onbase:.372,slugging:.441,ops:erc">.441,ops+:lugging">.814,bases:260,double_plays:17,hit_by_pitch:3,sac_hits:3,sac_flies:4,intentional_walks:2
pos:SS,name:Ramon Vazquez,age:26,games:116,plate_appearances:484,at_bats:422,runs:56,hits:110,doubles:17,triples:4,home_runs:3,runs_batted_in:30,stolen_bases:10,caught_stealing:3,walks:52,strikeouts:88,batting_avg:.261,onbase:.342,slugging:.341,ops:erc">.341,ops+:lugging">.684,bases:144,double_plays:4,hit_by_pitch:2,sac_hits:5,sac_flies:3,intentional_walks:2
pos:3B,name:Sean Burroughs,age:22,games:146,plate_appearances:578,at_bats:517,runs:62,hits:148,doubles:27,triples:6,home_runs:7,runs_batted_in:58,stolen_bases:7,caught_stealing:2,walks:44,strikeouts:75,batting_avg:.286,onbase:.352,slugging:.402,ops:erc">.402,ops+:lugging">.755,bases:208,double_plays:13,hit_by_pitch:11,sac_hits:2,sac_flies:4,intentional_walks:4
pos:LF,name:Rondell White,age:31,games:115,plate_appearances:449,at_bats:413,runs:49,hits:115,doubles:17,triples:3,home_runs:18,runs_batted_in:66,stolen_bases:1,caught_stealing:4,walks:25,strikeouts:71,batting_avg:.278,onbase:.330,slugging:.465,ops:erc">.465,ops+:lugging">.795,bases:192,double_plays:11,hit_by_pitch:8,sac_hits:0,sac_flies:3,intentional_walks:2
pos:CF,name:Mark Kotsay,age:27,games:128,plate_appearances:541,at_bats:482,runs:64,hits:128,doubles:28,triples:4,home_runs:7,runs_batted_in:38,stolen_bases:6,caught_stealing:3,walks:56,strikeouts:82,batting_avg:.266,onbase:.343,slugging:.384,ops:erc">.384,ops+:lugging">.726,bases:185,double_plays:8,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:3
pos:RF,name:Xavier Nady,age:24,games:110,plate_appearances:404,at_bats:371,runs:50,hits:99,doubles:17,triples:1,home_runs:9,runs_batted_in:39,stolen_bases:6,caught_stealing:2,walks:24,strikeouts:74,batting_avg:.267,onbase:.321,slugging:.391,ops:erc">.391,ops+:lugging">.712,bases:145,double_plays:14,hit_by_pitch:6,sac_hits:2,sac_flies:1,intentional_walks:0
pos:OF,name:Gary Matthews,age:28,games:103,plate_appearances:341,at_bats:306,runs:50,hits:83,doubles:19,triples:1,home_runs:4,runs_batted_in:22,stolen_bases:12,caught_stealing:5,walks:34,strikeouts:66,batting_avg:.271,onbase:.346,slugging:.379,ops:erc">.379,ops+:lugging">.725,bases:116,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Phil Nevin,age:32,games:59,plate_appearances:248,at_bats:226,runs:30,hits:63,doubles:8,triples:0,home_runs:13,runs_batted_in:46,stolen_bases:2,caught_stealing:0,walks:21,strikeouts:44,batting_avg:.279,onbase:.339,slugging:.487,ops:erc">.487,ops+:lugging">.825,bases:110,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:UT,name:Brian Buchanan,age:29,games:115,plate_appearances:229,at_bats:198,runs:29,hits:52,doubles:10,triples:2,home_runs:8,runs_batted_in:29,stolen_bases:6,caught_stealing:2,walks:24,strikeouts:51,batting_avg:.263,onbase:.346,slugging:.455,ops:erc">.455,ops+:lugging">.801,bases:90,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:1
