pos:C,name:Chris Cannizzaro,age:32,games:111,plate_appearances:397,at_bats:341,runs:27,hits:95,doubles:13,triples:3,home_runs:5,runs_batted_in:42,stolen_bases:2,caught_stealing:7,walks:48,strikeouts:49,batting_avg:.279,onbase:.366,slugging:.378,ops:erc">.378,ops+:lugging">.745,bases:129,double_plays:9,hit_by_pitch:1,sac_hits:4,sac_flies:3,intentional_walks:8
pos:1B,name:Nate Colbert,age:24,games:156,plate_appearances:636,at_bats:572,runs:84,hits:148,doubles:17,triples:6,home_runs:38,runs_batted_in:86,stolen_bases:3,caught_stealing:5,walks:56,strikeouts:150,batting_avg:.259,onbase:.328,slugging:.509,ops:erc">.509,ops+:lugging">.836,bases:291,double_plays:11,hit_by_pitch:4,sac_hits:1,sac_flies:3,intentional_walks:8
pos:2B,name:Dave Campbell,age:28,games:154,plate_appearances:635,at_bats:581,runs:71,hits:127,doubles:28,triples:2,home_runs:12,runs_batted_in:40,stolen_bases:18,caught_stealing:6,walks:40,strikeouts:115,batting_avg:.219,onbase:.268,slugging:.336,ops:erc">.336,ops+:lugging">.604,bases:195,double_plays:7,hit_by_pitch:1,sac_hits:9,sac_flies:4,intentional_walks:2
pos:SS,name:Tommy Dean,age:24,games:61,plate_appearances:177,at_bats:158,runs:18,hits:35,doubles:5,triples:1,home_runs:2,runs_batted_in:13,stolen_bases:2,caught_stealing:0,walks:11,strikeouts:29,batting_avg:.222,onbase:.271,slugging:.304,ops:erc">.304,ops+:lugging">.574,bases:48,double_plays:4,hit_by_pitch:0,sac_hits:7,sac_flies:1,intentional_walks:3
pos:3B,name:Ed Spiezio,age:28,games:110,plate_appearances:369,at_bats:316,runs:45,hits:90,doubles:18,triples:1,home_runs:12,runs_batted_in:42,stolen_bases:4,caught_stealing:0,walks:43,strikeouts:42,batting_avg:.285,onbase:.373,slugging:.462,ops:erc">.462,ops+:lugging">.835,bases:146,double_plays:7,hit_by_pitch:4,sac_hits:2,sac_flies:4,intentional_walks:2
pos:LF,name:Al Ferrara,age:30,games:138,plate_appearances:430,at_bats:372,runs:44,hits:103,doubles:15,triples:4,home_runs:13,runs_batted_in:51,stolen_bases:0,caught_stealing:0,walks:46,strikeouts:63,batting_avg:.277,onbase:.372,slugging:.444,ops:erc">.444,ops+:lugging">.816,bases:165,double_plays:8,hit_by_pitch:11,sac_hits:0,sac_flies:1,intentional_walks:2
pos:CF,name:Cito Gaston,age:26,games:146,plate_appearances:629,at_bats:584,runs:92,hits:186,doubles:26,triples:9,home_runs:29,runs_batted_in:93,stolen_bases:4,caught_stealing:1,walks:41,strikeouts:142,batting_avg:.318,onbase:.364,slugging:.543,ops:erc">.543,ops+:lugging">.907,bases:317,double_plays:16,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:2
pos:RF,name:Ollie Brown,age:26,games:139,plate_appearances:577,at_bats:534,runs:79,hits:156,doubles:34,triples:1,home_runs:23,runs_batted_in:89,stolen_bases:5,caught_stealing:3,walks:34,strikeouts:78,batting_avg:.292,onbase:.331,slugging:.489,ops:erc">.489,ops+:lugging">.820,bases:261,double_plays:14,hit_by_pitch:0,sac_hits:3,sac_flies:6,intentional_walks:8
pos:IF,name:Steve Huntz,age:24,games:106,plate_appearances:427,at_bats:352,runs:54,hits:77,doubles:8,triples:0,home_runs:11,runs_batted_in:37,stolen_bases:0,caught_stealing:3,walks:66,strikeouts:69,batting_avg:.219,onbase:.341,slugging:.335,ops:erc">.335,ops+:lugging">.676,bases:118,double_plays:5,hit_by_pitch:1,sac_hits:5,sac_flies:3,intentional_walks:1
pos:OF,name:Ivan Murrell,age:27,games:125,plate_appearances:370,at_bats:347,runs:43,hits:85,doubles:9,triples:3,home_runs:12,runs_batted_in:35,stolen_bases:9,caught_stealing:7,walks:17,strikeouts:93,batting_avg:.245,onbase:.287,slugging:.392,ops:erc">.392,ops+:lugging">.679,bases:136,double_plays:7,hit_by_pitch:4,sac_hits:1,sac_flies:1,intentional_walks:5
pos:SS,name:Jose Arcia,age:26,games:114,plate_appearances:252,at_bats:229,runs:28,hits:51,doubles:9,triples:3,home_runs:0,runs_batted_in:17,stolen_bases:3,caught_stealing:6,walks:12,strikeouts:36,batting_avg:.223,onbase:.282,slugging:.288,ops:erc">.288,ops+:lugging">.570,bases:66,double_plays:3,hit_by_pitch:7,sac_hits:4,sac_flies:0,intentional_walks:1
pos:C,name:Bob Barton,age:28,games:61,plate_appearances:206,at_bats:188,runs:15,hits:41,doubles:6,triples:0,home_runs:4,runs_batted_in:16,stolen_bases:1,caught_stealing:1,walks:15,strikeouts:37,batting_avg:.218,onbase:.278,slugging:.314,ops:erc">.314,ops+:lugging">.592,bases:59,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:2
pos:1B,name:Ramon Webster,age:27,games:95,plate_appearances:128,at_bats:116,runs:12,hits:30,doubles:3,triples:0,home_runs:2,runs_batted_in:11,stolen_bases:1,caught_stealing:1,walks:11,strikeouts:12,batting_avg:.259,onbase:.323,slugging:.336,ops:erc">.336,ops+:lugging">.659,bases:39,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Van Kelly,age:24,games:38,plate_appearances:105,at_bats:89,runs:9,hits:15,doubles:3,triples:0,home_runs:1,runs_batted_in:9,stolen_bases:0,caught_stealing:1,walks:15,strikeouts:21,batting_avg:.169,onbase:.288,slugging:.236,ops:erc">.236,ops+:lugging">.524,bases:21,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:SS,name:Rafael Robles,age:22,games:23,plate_appearances:97,at_bats:89,runs:5,hits:19,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:3,caught_stealing:0,walks:5,strikeouts:11,batting_avg:.213,onbase:.263,slugging:.225,ops:erc">.225,ops+:lugging">.488,bases:20,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:UT,name:Ron Slocum,age:24,games:60,plate_appearances:82,at_bats:71,runs:8,hits:10,doubles:2,triples:2,home_runs:1,runs_batted_in:11,stolen_bases:0,caught_stealing:1,walks:8,strikeouts:24,batting_avg:.141,onbase:.238,slugging:.268,ops:erc">.268,ops+:lugging">.505,bases:19,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:1
pos:OF,name:Larry Stahl,age:29,games:52,plate_appearances:69,at_bats:66,runs:5,hits:12,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:2,caught_stealing:2,walks:2,strikeouts:14,batting_avg:.182,onbase:.206,slugging:.212,ops:erc">.212,ops+:lugging">.418,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:LF,name:Jerry Morales,age:21,games:28,plate_appearances:61,at_bats:58,runs:6,hits:9,doubles:0,triples:1,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:11,batting_avg:.155,onbase:.197,slugging:.241,ops:erc">.241,ops+:lugging">.438,bases:14,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Dave Robinson,age:24,games:15,plate_appearances:43,at_bats:38,runs:5,hits:12,doubles:2,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:2,caught_stealing:0,walks:5,strikeouts:4,batting_avg:.316,onbase:.395,slugging:.526,ops:erc">.526,ops+:lugging">.922,bases:20,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
