pos:C,name:Joe Girardi,age:29,games:93,plate_appearances:361,at_bats:330,runs:47,hits:91,doubles:9,triples:4,home_runs:4,runs_batted_in:34,stolen_bases:3,caught_stealing:3,walks:21,strikeouts:48,batting_avg:.276,onbase:.321,slugging:.364,ops:erc">.364,ops+:lugging">.685,bases:120,double_plays:13,hit_by_pitch:2,sac_hits:6,sac_flies:2,intentional_walks:1
pos:1B,name:Andres Galarraga,age:33,games:103,plate_appearances:449,at_bats:417,runs:77,hits:133,doubles:21,triples:0,home_runs:31,runs_batted_in:85,stolen_bases:8,caught_stealing:3,walks:19,strikeouts:93,batting_avg:.319,onbase:.356,slugging:.592,ops:erc">.592,ops+:lugging">.949,bases:247,double_plays:10,hit_by_pitch:8,sac_hits:0,sac_flies:5,intentional_walks:8
pos:2B,name:Nelson Liriano,age:30,games:87,plate_appearances:303,at_bats:255,runs:39,hits:65,doubles:17,triples:5,home_runs:3,runs_batted_in:31,stolen_bases:0,caught_stealing:2,walks:42,strikeouts:44,batting_avg:.255,onbase:.357,slugging:.396,ops:erc">.396,ops+:lugging">.753,bases:101,double_plays:4,hit_by_pitch:0,sac_hits:3,sac_flies:3,intentional_walks:5
pos:SS,name:Walt Weiss,age:30,games:110,plate_appearances:486,at_bats:423,runs:58,hits:106,doubles:11,triples:4,home_runs:1,runs_batted_in:32,stolen_bases:12,caught_stealing:7,walks:56,strikeouts:58,batting_avg:.251,onbase:.336,slugging:.303,ops:erc">.303,ops+:lugging">.639,bases:128,double_plays:6,hit_by_pitch:0,sac_hits:4,sac_flies:3,intentional_walks:0
pos:3B,name:Charlie Hayes,age:29,games:113,plate_appearances:463,at_bats:423,runs:46,hits:122,doubles:23,triples:4,home_runs:10,runs_batted_in:50,stolen_bases:3,caught_stealing:6,walks:36,strikeouts:71,batting_avg:.288,onbase:.348,slugging:.433,ops:erc">.433,ops+:lugging">.780,bases:183,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:4
pos:LF,name:Eric Young Sr.,age:27,games:90,plate_appearances:275,at_bats:228,runs:37,hits:62,doubles:13,triples:1,home_runs:7,runs_batted_in:30,stolen_bases:18,caught_stealing:7,walks:38,strikeouts:17,batting_avg:.272,onbase:.378,slugging:.430,ops:erc">.430,ops+:lugging">.808,bases:98,double_plays:3,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:1
pos:CF,name:Mike Kingery,age:33,games:105,plate_appearances:346,at_bats:301,runs:56,hits:105,doubles:27,triples:8,home_runs:4,runs_batted_in:41,stolen_bases:5,caught_stealing:7,walks:30,strikeouts:26,batting_avg:.349,onbase:.402,slugging:.532,ops:erc">.532,ops+:lugging">.933,bases:160,double_plays:8,hit_by_pitch:2,sac_hits:5,sac_flies:8,intentional_walks:2
pos:RF,name:Dante Bichette,age:30,games:116,plate_appearances:509,at_bats:484,runs:74,hits:147,doubles:33,triples:2,home_runs:27,runs_batted_in:95,stolen_bases:21,caught_stealing:8,walks:19,strikeouts:70,batting_avg:.304,onbase:.334,slugging:.548,ops:erc">.548,ops+:lugging">.882,bases:265,double_plays:17,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:3
pos:LF,name:Howard Johnson,age:33,games:93,plate_appearances:269,at_bats:227,runs:30,hits:48,doubles:10,triples:2,home_runs:10,runs_batted_in:40,stolen_bases:11,caught_stealing:3,walks:39,strikeouts:73,batting_avg:.211,onbase:.323,slugging:.405,ops:erc">.405,ops+:lugging">.729,bases:92,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:2
pos:CF,name:Ellis Burks,age:29,games:42,plate_appearances:165,at_bats:149,runs:33,hits:48,doubles:8,triples:3,home_runs:13,runs_batted_in:24,stolen_bases:3,caught_stealing:1,walks:16,strikeouts:39,batting_avg:.322,onbase:.388,slugging:.678,ops:erc">.678,ops+:lugging">1.066,bases:101,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:3
pos:IF,name:Vinny Castilla,age:26,games:52,plate_appearances:141,at_bats:130,runs:16,hits:43,doubles:11,triples:1,home_runs:3,runs_batted_in:18,stolen_bases:2,caught_stealing:1,walks:7,strikeouts:23,batting_avg:.331,onbase:.357,slugging:.500,ops:erc">.500,ops+:lugging">.857,bases:65,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:1
pos:2B,name:Roberto Mejia,age:22,games:38,plate_appearances:132,at_bats:116,runs:11,hits:28,doubles:8,triples:1,home_runs:4,runs_batted_in:14,stolen_bases:3,caught_stealing:1,walks:15,strikeouts:33,batting_avg:.241,onbase:.326,slugging:.431,ops:erc">.431,ops+:lugging">.757,bases:50,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:UT,name:John Vander Wal,age:28,games:91,plate_appearances:127,at_bats:110,runs:12,hits:27,doubles:3,triples:1,home_runs:5,runs_batted_in:15,stolen_bases:2,caught_stealing:1,walks:16,strikeouts:31,batting_avg:.245,onbase:.339,slugging:.427,ops:erc">.427,ops+:lugging">.766,bases:47,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
