pos:C,name:Gary Bennett,age:30,games:90,plate_appearances:314,at_bats:291,runs:26,hits:77,doubles:10,triples:2,home_runs:4,runs_batted_in:26,stolen_bases:1,caught_stealing:3,walks:15,strikeouts:45,batting_avg:.265,onbase:.314,slugging:.354,ops:erc">.354,ops+:lugging">.668,bases:103,double_plays:10,hit_by_pitch:6,sac_hits:2,sac_flies:0,intentional_walks:2
pos:1B,name:Todd Helton,age:28,games:156,plate_appearances:668,at_bats:553,runs:107,hits:182,doubles:39,triples:4,home_runs:30,runs_batted_in:109,stolen_bases:5,caught_stealing:1,walks:99,strikeouts:91,batting_avg:.329,onbase:.429,slugging:.577,ops:erc">.577,ops+:lugging">1.006,bases:319,double_plays:10,hit_by_pitch:5,sac_hits:0,sac_flies:10,intentional_walks:21
pos:2B,name:Brent Butler,age:24,games:113,plate_appearances:367,at_bats:344,runs:55,hits:89,doubles:18,triples:4,home_runs:9,runs_batted_in:42,stolen_bases:2,caught_stealing:6,walks:10,strikeouts:40,batting_avg:.259,onbase:.287,slugging:.413,ops:erc">.413,ops+:lugging">.699,bases:142,double_plays:6,hit_by_pitch:5,sac_hits:4,sac_flies:4,intentional_walks:3
pos:SS,name:Juan Uribe,age:23,games:155,plate_appearances:618,at_bats:566,runs:69,hits:136,doubles:25,triples:7,home_runs:6,runs_batted_in:49,stolen_bases:9,caught_stealing:2,walks:34,strikeouts:120,batting_avg:.240,onbase:.286,slugging:.341,ops:erc">.341,ops+:lugging">.627,bases:193,double_plays:17,hit_by_pitch:5,sac_hits:7,sac_flies:6,intentional_walks:1
pos:3B,name:Todd Zeile,age:36,games:144,plate_appearances:580,at_bats:506,runs:61,hits:138,doubles:23,triples:0,home_runs:18,runs_batted_in:87,stolen_bases:1,caught_stealing:1,walks:66,strikeouts:92,batting_avg:.273,onbase:.353,slugging:.425,ops:erc">.425,ops+:lugging">.778,bases:215,double_plays:27,hit_by_pitch:1,sac_hits:0,sac_flies:7,intentional_walks:3
pos:LF,name:Todd Hollandsworth,age:29,games:95,plate_appearances:328,at_bats:298,runs:39,hits:88,doubles:21,triples:1,home_runs:11,runs_batted_in:48,stolen_bases:7,caught_stealing:8,walks:26,strikeouts:71,batting_avg:.295,onbase:.352,slugging:.483,ops:erc">.483,ops+:lugging">.835,bases:144,double_plays:8,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:4
pos:CF,name:Juan Pierre,age:24,games:152,plate_appearances:640,at_bats:592,runs:90,hits:170,doubles:20,triples:5,home_runs:1,runs_batted_in:35,stolen_bases:47,caught_stealing:12,walks:31,strikeouts:52,batting_avg:.287,onbase:.332,slugging:.343,ops:erc">.343,ops+:lugging">.675,bases:203,double_plays:7,hit_by_pitch:9,sac_hits:8,sac_flies:0,intentional_walks:0
pos:RF,name:Larry Walker,age:35,games:136,plate_appearances:553,at_bats:477,runs:95,hits:161,doubles:40,triples:4,home_runs:26,runs_batted_in:104,stolen_bases:6,caught_stealing:5,walks:65,strikeouts:73,batting_avg:.338,onbase:.421,slugging:.602,ops:erc">.602,ops+:lugging">1.023,bases:287,double_plays:8,hit_by_pitch:7,sac_hits:0,sac_flies:4,intentional_walks:6
pos:2B,name:Terry Shumpert,age:35,games:106,plate_appearances:268,at_bats:234,runs:30,hits:55,doubles:12,triples:1,home_runs:6,runs_batted_in:21,stolen_bases:4,caught_stealing:1,walks:21,strikeouts:41,batting_avg:.235,onbase:.304,slugging:.372,ops:erc">.372,ops+:lugging">.676,bases:87,double_plays:9,hit_by_pitch:4,sac_hits:5,sac_flies:4,intentional_walks:0
pos:2B,name:Jose Ortiz,age:25,games:65,plate_appearances:215,at_bats:192,runs:22,hits:48,doubles:7,triples:1,home_runs:1,runs_batted_in:12,stolen_bases:2,caught_stealing:0,walks:16,strikeouts:30,batting_avg:.250,onbase:.315,slugging:.313,ops:erc">.313,ops+:lugging">.627,bases:60,double_plays:3,hit_by_pitch:3,sac_hits:2,sac_flies:2,intentional_walks:0
pos:3B,name:Greg Norton,age:29,games:113,plate_appearances:195,at_bats:168,runs:19,hits:37,doubles:8,triples:1,home_runs:7,runs_batted_in:37,stolen_bases:2,caught_stealing:3,walks:24,strikeouts:52,batting_avg:.220,onbase:.314,slugging:.405,ops:erc">.405,ops+:lugging">.719,bases:68,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:0
