pos:C,name:Jason LaRue,age:28,games:113,plate_appearances:397,at_bats:353,runs:42,hits:88,doubles:17,triples:1,home_runs:12,runs_batted_in:52,stolen_bases:1,caught_stealing:2,walks:27,strikeouts:117,batting_avg:.249,onbase:.324,slugging:.405,ops:erc">.405,ops+:lugging">.729,bases:143,double_plays:13,hit_by_pitch:13,sac_hits:2,sac_flies:2,intentional_walks:6
pos:1B,name:Sean Casey,age:27,games:120,plate_appearances:476,at_bats:425,runs:56,hits:111,doubles:25,triples:0,home_runs:6,runs_batted_in:42,stolen_bases:2,caught_stealing:1,walks:43,strikeouts:47,batting_avg:.261,onbase:.334,slugging:.362,ops:erc">.362,ops+:lugging">.696,bases:154,double_plays:11,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:6
pos:2B,name:Todd Walker,age:29,games:155,plate_appearances:675,at_bats:612,runs:79,hits:183,doubles:42,triples:3,home_runs:11,runs_batted_in:64,stolen_bases:8,caught_stealing:5,walks:50,strikeouts:81,batting_avg:.299,onbase:.353,slugging:.431,ops:erc">.431,ops+:lugging">.785,bases:264,double_plays:9,hit_by_pitch:3,sac_hits:7,sac_flies:3,intentional_walks:7
pos:SS,name:Barry Larkin,age:38,games:145,plate_appearances:567,at_bats:507,runs:72,hits:124,doubles:37,triples:2,home_runs:7,runs_batted_in:47,stolen_bases:13,caught_stealing:4,walks:44,strikeouts:57,batting_avg:.245,onbase:.305,slugging:.367,ops:erc">.367,ops+:lugging">.672,bases:186,double_plays:13,hit_by_pitch:3,sac_hits:6,sac_flies:7,intentional_walks:9
pos:3B,name:Aaron Boone,age:29,games:162,plate_appearances:685,at_bats:606,runs:83,hits:146,doubles:38,triples:2,home_runs:26,runs_batted_in:87,stolen_bases:32,caught_stealing:8,walks:56,strikeouts:111,batting_avg:.241,onbase:.314,slugging:.439,ops:erc">.439,ops+:lugging">.753,bases:266,double_plays:9,hit_by_pitch:10,sac_hits:9,sac_flies:4,intentional_walks:4
pos:LF,name:Adam Dunn,age:22,games:158,plate_appearances:676,at_bats:535,runs:84,hits:133,doubles:28,triples:2,home_runs:26,runs_batted_in:71,stolen_bases:19,caught_stealing:9,walks:128,strikeouts:170,batting_avg:.249,onbase:.400,slugging:.454,ops:erc">.454,ops+:lugging">.854,bases:243,double_plays:8,hit_by_pitch:9,sac_hits:1,sac_flies:3,intentional_walks:13
pos:CF,name:Juan Encarnacion,age:26,games:83,plate_appearances:354,at_bats:321,runs:43,hits:89,doubles:11,triples:2,home_runs:16,runs_batted_in:51,stolen_bases:9,caught_stealing:4,walks:26,strikeouts:63,batting_avg:.277,onbase:.330,slugging:.474,ops:erc">.474,ops+:lugging">.804,bases:152,double_plays:7,hit_by_pitch:1,sac_hits:3,sac_flies:3,intentional_walks:0
pos:RF,name:Austin Kearns,age:22,games:107,plate_appearances:435,at_bats:372,runs:66,hits:117,doubles:24,triples:3,home_runs:13,runs_batted_in:56,stolen_bases:6,caught_stealing:3,walks:54,strikeouts:81,batting_avg:.315,onbase:.407,slugging:.500,ops:erc">.500,ops+:lugging">.907,bases:186,double_plays:11,hit_by_pitch:6,sac_hits:0,sac_flies:3,intentional_walks:3
pos:CF,name:Reggie Taylor,age:25,games:135,plate_appearances:311,at_bats:287,runs:41,hits:73,doubles:15,triples:4,home_runs:9,runs_batted_in:38,stolen_bases:11,caught_stealing:8,walks:14,strikeouts:79,batting_avg:.254,onbase:.291,slugging:.429,ops:erc">.429,ops+:lugging">.719,bases:123,double_plays:6,hit_by_pitch:2,sac_hits:5,sac_flies:3,intentional_walks:3
pos:UT,name:Russell Branyan,age:26,games:84,plate_appearances:255,at_bats:217,runs:34,hits:53,doubles:9,triples:1,home_runs:16,runs_batted_in:39,stolen_bases:3,caught_stealing:1,walks:34,strikeouts:86,batting_avg:.244,onbase:.349,slugging:.516,ops:erc">.516,ops+:lugging">.865,bases:112,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:3
pos:CF,name:Ken Griffey Jr.,age:32,games:70,plate_appearances:232,at_bats:197,runs:17,hits:52,doubles:8,triples:0,home_runs:8,runs_batted_in:23,stolen_bases:1,caught_stealing:2,walks:28,strikeouts:39,batting_avg:.264,onbase:.358,slugging:.426,ops:erc">.426,ops+:lugging">.784,bases:84,double_plays:6,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:6
