pos:C,name:Scott Servais,age:30,games:122,plate_appearances:425,at_bats:385,runs:36,hits:100,doubles:21,triples:0,home_runs:6,runs_batted_in:45,stolen_bases:0,caught_stealing:1,walks:24,strikeouts:56,batting_avg:.260,onbase:.311,slugging:.361,ops:erc">.361,ops+:lugging">.672,bases:139,double_plays:7,hit_by_pitch:6,sac_hits:7,sac_flies:3,intentional_walks:7
pos:1B,name:Mark Grace,age:33,games:151,plate_appearances:654,at_bats:555,runs:87,hits:177,doubles:32,triples:5,home_runs:13,runs_batted_in:78,stolen_bases:2,caught_stealing:4,walks:88,strikeouts:45,batting_avg:.319,onbase:.409,slugging:.465,ops:erc">.465,ops+:lugging">.874,bases:258,double_plays:18,hit_by_pitch:2,sac_hits:1,sac_flies:8,intentional_walks:3
pos:2B,name:Ryne Sandberg,age:37,games:135,plate_appearances:480,at_bats:447,runs:54,hits:118,doubles:26,triples:0,home_runs:12,runs_batted_in:64,stolen_bases:7,caught_stealing:4,walks:28,strikeouts:94,batting_avg:.264,onbase:.308,slugging:.403,ops:erc">.403,ops+:lugging">.711,bases:180,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:3
pos:SS,name:Shawon Dunston,age:34,games:114,plate_appearances:437,at_bats:419,runs:57,hits:119,doubles:18,triples:4,home_runs:9,runs_batted_in:41,stolen_bases:29,caught_stealing:7,walks:8,strikeouts:64,batting_avg:.284,onbase:.300,slugging:.411,ops:erc">.411,ops+:lugging">.710,bases:172,double_plays:7,hit_by_pitch:3,sac_hits:3,sac_flies:4,intentional_walks:0
pos:3B,name:Kevin Orie,age:24,games:114,plate_appearances:418,at_bats:364,runs:40,hits:100,doubles:23,triples:5,home_runs:8,runs_batted_in:44,stolen_bases:2,caught_stealing:2,walks:39,strikeouts:57,batting_avg:.275,onbase:.350,slugging:.431,ops:erc">.431,ops+:lugging">.781,bases:157,double_plays:13,hit_by_pitch:5,sac_hits:3,sac_flies:4,intentional_walks:3
pos:LF,name:Doug Glanville,age:26,games:146,plate_appearances:510,at_bats:474,runs:79,hits:142,doubles:22,triples:5,home_runs:4,runs_batted_in:35,stolen_bases:19,caught_stealing:11,walks:24,strikeouts:46,batting_avg:.300,onbase:.333,slugging:.392,ops:erc">.392,ops+:lugging">.726,bases:186,double_plays:9,hit_by_pitch:1,sac_hits:9,sac_flies:2,intentional_walks:0
pos:CF,name:Brian McRae,age:29,games:108,plate_appearances:477,at_bats:417,runs:63,hits:100,doubles:27,triples:5,home_runs:6,runs_batted_in:28,stolen_bases:14,caught_stealing:6,walks:52,strikeouts:62,batting_avg:.240,onbase:.329,slugging:.372,ops:erc">.372,ops+:lugging">.701,bases:155,double_plays:11,hit_by_pitch:4,sac_hits:3,sac_flies:1,intentional_walks:2
pos:RF,name:Sammy Sosa,age:28,games:162,plate_appearances:694,at_bats:642,runs:90,hits:161,doubles:31,triples:4,home_runs:36,runs_batted_in:119,stolen_bases:22,caught_stealing:12,walks:45,strikeouts:174,batting_avg:.251,onbase:.300,slugging:.480,ops:erc">.480,ops+:lugging">.779,bases:308,double_plays:16,hit_by_pitch:2,sac_hits:0,sac_flies:5,intentional_walks:9
pos:MI,name:Rey Sanchez,age:29,games:97,plate_appearances:220,at_bats:205,runs:14,hits:51,doubles:9,triples:0,home_runs:1,runs_batted_in:12,stolen_bases:4,caught_stealing:2,walks:11,strikeouts:26,batting_avg:.249,onbase:.287,slugging:.307,ops:erc">.307,ops+:lugging">.594,bases:63,double_plays:7,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:2
pos:C,name:Tyler Houston,age:26,games:72,plate_appearances:207,at_bats:196,runs:15,hits:51,doubles:10,triples:0,home_runs:2,runs_batted_in:28,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:35,batting_avg:.260,onbase:.290,slugging:.342,ops:erc">.342,ops+:lugging">.632,bases:67,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:IF,name:Jose Hernandez,age:27,games:121,plate_appearances:199,at_bats:183,runs:33,hits:50,doubles:8,triples:5,home_runs:7,runs_batted_in:26,stolen_bases:2,caught_stealing:5,walks:14,strikeouts:42,batting_avg:.273,onbase:.323,slugging:.486,ops:erc">.486,ops+:lugging">.810,bases:89,double_plays:5,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:2
pos:3B,name:Dave Hansen,age:28,games:90,plate_appearances:186,at_bats:151,runs:19,hits:47,doubles:8,triples:2,home_runs:3,runs_batted_in:21,stolen_bases:1,caught_stealing:2,walks:31,strikeouts:32,batting_avg:.311,onbase:.429,slugging:.450,ops:erc">.450,ops+:lugging">.880,bases:68,double_plays:0,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:1
pos:LF,name:Dave Clark,age:34,games:102,plate_appearances:166,at_bats:143,runs:19,hits:43,doubles:8,triples:0,home_runs:5,runs_batted_in:32,stolen_bases:1,caught_stealing:0,walks:19,strikeouts:34,batting_avg:.301,onbase:.386,slugging:.462,ops:erc">.462,ops+:lugging">.847,bases:66,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:3
pos:CF,name:Lance Johnson,age:33,games:39,plate_appearances:155,at_bats:145,runs:17,hits:44,doubles:6,triples:2,home_runs:4,runs_batted_in:15,stolen_bases:5,caught_stealing:2,walks:9,strikeouts:10,batting_avg:.303,onbase:.342,slugging:.455,ops:erc">.455,ops+:lugging">.797,bases:66,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:LF,name:Brant Brown,age:26,games:46,plate_appearances:148,at_bats:137,runs:15,hits:32,doubles:7,triples:1,home_runs:5,runs_batted_in:15,stolen_bases:2,caught_stealing:1,walks:7,strikeouts:28,batting_avg:.234,onbase:.286,slugging:.409,ops:erc">.409,ops+:lugging">.694,bases:56,double_plays:2,hit_by_pitch:3,sac_hits:1,sac_flies:0,intentional_walks:0
pos:SS,name:Manny Alexander,age:26,games:33,plate_appearances:111,at_bats:99,runs:11,hits:29,doubles:3,triples:1,home_runs:1,runs_batted_in:7,stolen_bases:2,caught_stealing:1,walks:8,strikeouts:16,batting_avg:.293,onbase:.358,slugging:.374,ops:erc">.374,ops+:lugging">.732,bases:37,double_plays:3,hit_by_pitch:2,sac_hits:2,sac_flies:0,intentional_walks:2
