pos:C,name:Michael Barrett,age:29,games:107,plate_appearances:418,at_bats:375,runs:54,hits:115,doubles:25,triples:3,home_runs:16,runs_batted_in:53,stolen_bases:0,caught_stealing:1,walks:33,strikeouts:41,batting_avg:.307,onbase:.368,slugging:.517,ops:erc">.517,ops+:lugging">.885,bases:194,double_plays:12,hit_by_pitch:5,sac_hits:2,sac_flies:3,intentional_walks:2
pos:1B,name:Derrek Lee,age:30,games:50,plate_appearances:204,at_bats:175,runs:30,hits:50,doubles:9,triples:0,home_runs:8,runs_batted_in:30,stolen_bases:8,caught_stealing:4,walks:25,strikeouts:41,batting_avg:.286,onbase:.368,slugging:.474,ops:erc">.474,ops+:lugging">.842,bases:83,double_plays:11,hit_by_pitch:0,sac_hits:0,sac_flies:4,intentional_walks:1
pos:2B,name:Todd Walker,age:33,games:94,plate_appearances:362,at_bats:318,runs:38,hits:88,doubles:16,triples:1,home_runs:6,runs_batted_in:40,stolen_bases:0,caught_stealing:1,walks:38,strikeouts:27,batting_avg:.277,onbase:.352,slugging:.390,ops:erc">.390,ops+:lugging">.742,bases:124,double_plays:7,hit_by_pitch:1,sac_hits:1,sac_flies:4,intentional_walks:1
pos:SS,name:Ronny Cedeno,age:23,games:151,plate_appearances:572,at_bats:534,runs:51,hits:131,doubles:18,triples:7,home_runs:6,runs_batted_in:41,stolen_bases:8,caught_stealing:8,walks:17,strikeouts:109,batting_avg:.245,onbase:.271,slugging:.339,ops:erc">.339,ops+:lugging">.610,bases:181,double_plays:10,hit_by_pitch:3,sac_hits:15,sac_flies:3,intentional_walks:4
pos:3B,name:Aramis Ramirez,age:28,games:157,plate_appearances:660,at_bats:594,runs:93,hits:173,doubles:38,triples:4,home_runs:38,runs_batted_in:119,stolen_bases:2,caught_stealing:1,walks:50,strikeouts:63,batting_avg:.291,onbase:.352,slugging:.561,ops:erc">.561,ops+:lugging">.912,bases:333,double_plays:15,hit_by_pitch:9,sac_hits:0,sac_flies:7,intentional_walks:4
pos:LF,name:Matt Murton,age:24,games:144,plate_appearances:508,at_bats:455,runs:70,hits:135,doubles:22,triples:3,home_runs:13,runs_batted_in:62,stolen_bases:5,caught_stealing:2,walks:45,strikeouts:62,batting_avg:.297,onbase:.365,slugging:.444,ops:erc">.444,ops+:lugging">.809,bases:202,double_plays:16,hit_by_pitch:5,sac_hits:1,sac_flies:2,intentional_walks:1
pos:CF,name:Juan Pierre,age:28,games:162,plate_appearances:750,at_bats:699,runs:87,hits:204,doubles:32,triples:13,home_runs:3,runs_batted_in:40,stolen_bases:58,caught_stealing:20,walks:32,strikeouts:38,batting_avg:.292,onbase:.330,slugging:.388,ops:erc">.388,ops+:lugging">.717,bases:271,double_plays:6,hit_by_pitch:8,sac_hits:10,sac_flies:1,intentional_walks:0
pos:RF,name:Jacque Jones,age:31,games:149,plate_appearances:578,at_bats:533,runs:73,hits:152,doubles:31,triples:1,home_runs:27,runs_batted_in:81,stolen_bases:9,caught_stealing:1,walks:35,strikeouts:116,batting_avg:.285,onbase:.334,slugging:.499,ops:erc">.499,ops+:lugging">.833,bases:266,double_plays:17,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:6
pos:C,name:Henry Blanco,age:34,games:74,plate_appearances:261,at_bats:241,runs:23,hits:64,doubles:15,triples:2,home_runs:6,runs_batted_in:37,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:38,batting_avg:.266,onbase:.304,slugging:.419,ops:erc">.419,ops+:lugging">.723,bases:101,double_plays:8,hit_by_pitch:0,sac_hits:4,sac_flies:2,intentional_walks:1
pos:2B,name:Neifi Perez,age:33,games:87,plate_appearances:246,at_bats:236,runs:27,hits:60,doubles:13,triples:1,home_runs:2,runs_batted_in:24,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:21,batting_avg:.254,onbase:.266,slugging:.343,ops:erc">.343,ops+:lugging">.610,bases:81,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:2
pos:1B,name:John Mabry,age:35,games:107,plate_appearances:237,at_bats:210,runs:16,hits:43,doubles:8,triples:1,home_runs:5,runs_batted_in:25,stolen_bases:0,caught_stealing:0,walks:23,strikeouts:57,batting_avg:.205,onbase:.283,slugging:.324,ops:erc">.324,ops+:lugging">.607,bases:68,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:0
