pos:C,name:Geovany Soto,age:26,games:102,plate_appearances:389,at_bats:331,runs:27,hits:72,doubles:19,triples:1,home_runs:11,runs_batted_in:47,stolen_bases:1,caught_stealing:0,walks:50,strikeouts:77,batting_avg:.218,onbase:.321,slugging:.381,ops:erc">.381,ops+:lugging">.702,bases:126,double_plays:19,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:3
pos:1B,name:Derrek Lee,age:33,games:141,plate_appearances:615,at_bats:532,runs:91,hits:163,doubles:36,triples:2,home_runs:35,runs_batted_in:111,stolen_bases:1,caught_stealing:0,walks:76,strikeouts:109,batting_avg:.306,onbase:.393,slugging:.579,ops:erc">.579,ops+:lugging">.972,bases:308,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:6
pos:2B,name:Mike Fontenot,age:29,games:135,plate_appearances:419,at_bats:377,runs:38,hits:89,doubles:22,triples:2,home_runs:9,runs_batted_in:43,stolen_bases:4,caught_stealing:1,walks:35,strikeouts:83,batting_avg:.236,onbase:.301,slugging:.377,ops:erc">.377,ops+:lugging">.677,bases:142,double_plays:7,hit_by_pitch:2,sac_hits:0,sac_flies:5,intentional_walks:4
pos:SS,name:Ryan Theriot,age:29,games:154,plate_appearances:677,at_bats:602,runs:81,hits:171,doubles:20,triples:5,home_runs:7,runs_batted_in:54,stolen_bases:21,caught_stealing:10,walks:51,strikeouts:93,batting_avg:.284,onbase:.343,slugging:.369,ops:erc">.369,ops+:lugging">.712,bases:222,double_plays:13,hit_by_pitch:6,sac_hits:13,sac_flies:5,intentional_walks:1
pos:3B,name:Aramis Ramirez,age:31,games:82,plate_appearances:342,at_bats:306,runs:46,hits:97,doubles:14,triples:1,home_runs:15,runs_batted_in:65,stolen_bases:2,caught_stealing:1,walks:28,strikeouts:43,batting_avg:.317,onbase:.389,slugging:.516,ops:erc">.516,ops+:lugging">.905,bases:158,double_plays:8,hit_by_pitch:8,sac_hits:0,sac_flies:0,intentional_walks:3
pos:LF,name:Alfonso Soriano,age:33,games:117,plate_appearances:522,at_bats:477,runs:64,hits:115,doubles:25,triples:1,home_runs:20,runs_batted_in:55,stolen_bases:9,caught_stealing:2,walks:40,strikeouts:118,batting_avg:.241,onbase:.303,slugging:.423,ops:erc">.423,ops+:lugging">.726,bases:202,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:6
pos:CF,name:Kosuke Fukudome,age:32,games:146,plate_appearances:603,at_bats:499,runs:79,hits:129,doubles:38,triples:5,home_runs:11,runs_batted_in:54,stolen_bases:6,caught_stealing:10,walks:93,strikeouts:112,batting_avg:.259,onbase:.375,slugging:.421,ops:erc">.421,ops+:lugging">.796,bases:210,double_plays:15,hit_by_pitch:3,sac_hits:3,sac_flies:5,intentional_walks:3
pos:RF,name:Milton Bradley,age:31,games:124,plate_appearances:473,at_bats:393,runs:61,hits:101,doubles:17,triples:1,home_runs:12,runs_batted_in:40,stolen_bases:2,caught_stealing:3,walks:66,strikeouts:95,batting_avg:.257,onbase:.378,slugging:.397,ops:erc">.397,ops+:lugging">.775,bases:156,double_plays:10,hit_by_pitch:11,sac_hits:2,sac_flies:1,intentional_walks:4
pos:C,name:Koyie Hill,age:30,games:83,plate_appearances:284,at_bats:253,runs:26,hits:60,doubles:12,triples:2,home_runs:2,runs_batted_in:24,stolen_bases:0,caught_stealing:0,walks:27,strikeouts:78,batting_avg:.237,onbase:.312,slugging:.324,ops:erc">.324,ops+:lugging">.636,bases:82,double_plays:9,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:6
pos:UT,name:Micah Hoffpauir,age:29,games:105,plate_appearances:257,at_bats:234,runs:28,hits:56,doubles:12,triples:1,home_runs:10,runs_batted_in:35,stolen_bases:1,caught_stealing:0,walks:20,strikeouts:46,batting_avg:.239,onbase:.300,slugging:.427,ops:erc">.427,ops+:lugging">.727,bases:100,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:UT,name:Jake Fox,age:26,games:82,plate_appearances:241,at_bats:216,runs:23,hits:56,doubles:12,triples:0,home_runs:11,runs_batted_in:44,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:47,batting_avg:.259,onbase:.311,slugging:.468,ops:erc">.468,ops+:lugging">.779,bases:101,double_plays:5,hit_by_pitch:5,sac_hits:0,sac_flies:6,intentional_walks:1
pos:2B,name:Jeff Baker,age:28,games:69,plate_appearances:224,at_bats:203,runs:27,hits:62,doubles:15,triples:1,home_runs:4,runs_batted_in:21,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:46,batting_avg:.305,onbase:.362,slugging:.448,ops:erc">.448,ops+:lugging">.810,bases:91,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
pos:CF,name:Reed Johnson,age:32,games:65,plate_appearances:186,at_bats:165,runs:23,hits:42,doubles:10,triples:2,home_runs:4,runs_batted_in:22,stolen_bases:2,caught_stealing:1,walks:13,strikeouts:27,batting_avg:.255,onbase:.330,slugging:.412,ops:erc">.412,ops+:lugging">.742,bases:68,double_plays:5,hit_by_pitch:6,sac_hits:1,sac_flies:1,intentional_walks:0
pos:2B,name:Aaron Miles,age:32,games:74,plate_appearances:170,at_bats:157,runs:17,hits:29,doubles:7,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:3,caught_stealing:0,walks:8,strikeouts:21,batting_avg:.185,onbase:.224,slugging:.242,ops:erc">.242,ops+:lugging">.466,bases:38,double_plays:4,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:1
pos:2B,name:Andres Blanco,age:25,games:53,plate_appearances:138,at_bats:123,runs:15,hits:31,doubles:8,triples:0,home_runs:1,runs_batted_in:12,stolen_bases:0,caught_stealing:2,walks:8,strikeouts:14,batting_avg:.252,onbase:.303,slugging:.341,ops:erc">.341,ops+:lugging">.644,bases:42,double_plays:4,hit_by_pitch:1,sac_hits:6,sac_flies:0,intentional_walks:3
pos:UT,name:Bobby Scales,age:31,games:51,plate_appearances:138,at_bats:124,runs:15,hits:30,doubles:8,triples:2,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:32,batting_avg:.242,onbase:.312,slugging:.411,ops:erc">.411,ops+:lugging">.723,bases:51,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Sam Fuld,age:27,games:65,plate_appearances:115,at_bats:97,runs:17,hits:29,doubles:6,triples:1,home_runs:1,runs_batted_in:2,stolen_bases:2,caught_stealing:1,walks:17,strikeouts:10,batting_avg:.299,onbase:.409,slugging:.412,ops:erc">.412,ops+:lugging">.821,bases:40,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
