pos:C,name:John Buck,age:29,games:118,plate_appearances:437,at_bats:409,runs:53,hits:115,doubles:25,triples:0,home_runs:20,runs_batted_in:66,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:111,batting_avg:.281,onbase:.314,slugging:.489,ops:erc">.489,ops+:lugging">.802,bases:200,double_plays:6,hit_by_pitch:6,sac_hits:0,sac_flies:6,intentional_walks:1
pos:1B,name:Lyle Overbay,age:33,games:154,plate_appearances:608,at_bats:534,runs:75,hits:130,doubles:37,triples:2,home_runs:20,runs_batted_in:67,stolen_bases:1,caught_stealing:0,walks:67,strikeouts:131,batting_avg:.243,onbase:.329,slugging:.433,ops:erc">.433,ops+:lugging">.762,bases:231,double_plays:9,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:7
pos:2B,name:Aaron Hill,age:28,games:138,plate_appearances:580,at_bats:528,runs:70,hits:108,doubles:22,triples:0,home_runs:26,runs_batted_in:68,stolen_bases:2,caught_stealing:2,walks:41,strikeouts:85,batting_avg:.205,onbase:.271,slugging:.394,ops:erc">.394,ops+:lugging">.665,bases:208,double_plays:8,hit_by_pitch:8,sac_hits:1,sac_flies:2,intentional_walks:2
pos:SS,name:Alex Gonzalez,age:33,games:85,plate_appearances:348,at_bats:328,runs:47,hits:85,doubles:25,triples:1,home_runs:17,runs_batted_in:50,stolen_bases:1,caught_stealing:0,walks:17,strikeouts:65,batting_avg:.259,onbase:.296,slugging:.497,ops:erc">.497,ops+:lugging">.793,bases:163,double_plays:9,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:0
pos:3B,name:Edwin Encarnacion,age:27,games:96,plate_appearances:367,at_bats:332,runs:47,hits:81,doubles:16,triples:0,home_runs:21,runs_batted_in:51,stolen_bases:1,caught_stealing:0,walks:29,strikeouts:60,batting_avg:.244,onbase:.305,slugging:.482,ops:erc">.482,ops+:lugging">.787,bases:160,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:1
pos:LF,name:Fred Lewis,age:29,games:110,plate_appearances:480,at_bats:428,runs:70,hits:112,doubles:31,triples:5,home_runs:8,runs_batted_in:36,stolen_bases:17,caught_stealing:6,walks:38,strikeouts:104,batting_avg:.262,onbase:.332,slugging:.414,ops:erc">.414,ops+:lugging">.745,bases:177,double_plays:9,hit_by_pitch:9,sac_hits:1,sac_flies:4,intentional_walks:1
pos:CF,name:Vernon Wells,age:31,games:157,plate_appearances:646,at_bats:590,runs:79,hits:161,doubles:44,triples:3,home_runs:31,runs_batted_in:88,stolen_bases:6,caught_stealing:4,walks:50,strikeouts:84,batting_avg:.273,onbase:.331,slugging:.515,ops:erc">.515,ops+:lugging">.847,bases:304,double_plays:18,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:5
pos:RF,name:Jose Bautista,age:29,games:161,plate_appearances:683,at_bats:569,runs:109,hits:148,doubles:35,triples:3,home_runs:54,runs_batted_in:124,stolen_bases:9,caught_stealing:2,walks:100,strikeouts:116,batting_avg:.260,onbase:.378,slugging:.617,ops:erc">.617,ops+:lugging">.995,bases:351,double_plays:10,hit_by_pitch:10,sac_hits:0,sac_flies:4,intentional_walks:2
pos:DH,name:Adam Lind,age:26,games:150,plate_appearances:613,at_bats:569,runs:57,hits:135,doubles:32,triples:3,home_runs:23,runs_batted_in:72,stolen_bases:0,caught_stealing:0,walks:38,strikeouts:144,batting_avg:.237,onbase:.287,slugging:.425,ops:erc">.425,ops+:lugging">.712,bases:242,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:3
pos:OF,name:Travis Snider,age:22,games:82,plate_appearances:319,at_bats:298,runs:36,hits:76,doubles:20,triples:0,home_runs:14,runs_batted_in:32,stolen_bases:6,caught_stealing:3,walks:21,strikeouts:79,batting_avg:.255,onbase:.304,slugging:.463,ops:erc">.463,ops+:lugging">.767,bases:138,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:2
pos:SS,name:Yunel Escobar,age:27,games:60,plate_appearances:266,at_bats:236,runs:32,hits:65,doubles:7,triples:0,home_runs:4,runs_batted_in:16,stolen_bases:1,caught_stealing:1,walks:19,strikeouts:26,batting_avg:.275,onbase:.340,slugging:.356,ops:erc">.356,ops+:lugging">.696,bases:84,double_plays:9,hit_by_pitch:4,sac_hits:7,sac_flies:0,intentional_walks:0
pos:C,name:Jose Molina,age:35,games:57,plate_appearances:183,at_bats:167,runs:13,hits:41,doubles:4,triples:0,home_runs:6,runs_batted_in:12,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:36,batting_avg:.246,onbase:.304,slugging:.377,ops:erc">.377,ops+:lugging">.681,bases:63,double_plays:7,hit_by_pitch:5,sac_hits:2,sac_flies:0,intentional_walks:1
pos:IF,name:John McDonald,age:35,games:63,plate_appearances:163,at_bats:152,runs:27,hits:38,doubles:9,triples:2,home_runs:6,runs_batted_in:23,stolen_bases:2,caught_stealing:1,walks:6,strikeouts:26,batting_avg:.250,onbase:.273,slugging:.454,ops:erc">.454,ops+:lugging">.727,bases:69,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:0
pos:OF,name:Dewayne Wise,age:32,games:52,plate_appearances:118,at_bats:112,runs:20,hits:28,doubles:3,triples:2,home_runs:3,runs_batted_in:14,stolen_bases:4,caught_stealing:0,walks:4,strikeouts:29,batting_avg:.250,onbase:.282,slugging:.393,ops:erc">.393,ops+:lugging">.675,bases:44,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:UT,name:Mike McCoy,age:29,games:46,plate_appearances:90,at_bats:82,runs:9,hits:16,doubles:4,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:5,caught_stealing:1,walks:8,strikeouts:20,batting_avg:.195,onbase:.267,slugging:.244,ops:erc">.244,ops+:lugging">.511,bases:20,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Randy Ruiz,age:32,games:13,plate_appearances:40,at_bats:40,runs:3,hits:6,doubles:2,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:11,batting_avg:.150,onbase:.150,slugging:.275,ops:erc">.275,ops+:lugging">.425,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:J.P. Arencibia,age:24,games:11,plate_appearances:37,at_bats:35,runs:3,hits:5,doubles:1,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:11,batting_avg:.143,onbase:.189,slugging:.343,ops:erc">.343,ops+:lugging">.532,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Jarrett Hoffpauir,age:27,games:13,plate_appearances:37,at_bats:34,runs:1,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.206,onbase:.250,slugging:.235,ops:erc">.235,ops+:lugging">.485,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:UT,name:Jeremy Reed,age:29,games:14,plate_appearances:23,at_bats:21,runs:1,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:8,batting_avg:.143,onbase:.217,slugging:.286,ops:erc">.286,ops+:lugging">.503,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Nick Green,age:31,games:9,plate_appearances:14,at_bats:13,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.154,onbase:.214,slugging:.154,ops:erc">.154,ops+:lugging">.368,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Shaun Marcum,age:28,games:2,plate_appearances:6,at_bats:4,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.250,onbase:.400,slugging:.500,ops:erc">.500,ops+:lugging">.900,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Ricky Romero,age:25,games:2,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brandon Morrow,age:25,games:2,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brett Cecil,age:23,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Shawn Camp,age:34,games:4,plate_appearances:1,at_bats:1,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:1.000,onbase:1.000,slugging:1.000,ops:erc">1.000,ops+:lugging">2.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Casey Janssen,age:28,games:5,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jesse Litsch,age:25,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rommie Lewis,age:27,games:2,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brian Tallet,age:32,games:2,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:David Purcey,age:28,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Gregg,age:32,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dana Eveland,age:26,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Merkin Valdez,age:28,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jason Frasor,age:32,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Robert Ray,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jesse Carlson,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeremy Accardo,age:28,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kyle Drabek,age:22,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott Downs,age:34,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Josh Roenicke,age:27,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
