pos:C,name:Eliezer Alfonzo,age:27,games:87,plate_appearances:309,at_bats:286,runs:27,hits:76,doubles:17,triples:2,home_runs:12,runs_batted_in:39,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:74,batting_avg:.266,onbase:.302,slugging:.465,ops:erc">.465,ops+:lugging">.767,bases:133,double_plays:10,hit_by_pitch:7,sac_hits:4,sac_flies:3,intentional_walks:7
pos:1B,name:Shea Hillenbrand,age:30,games:60,plate_appearances:247,at_bats:234,runs:33,hits:58,doubles:12,triples:0,home_runs:9,runs_batted_in:29,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:40,batting_avg:.248,onbase:.275,slugging:.415,ops:erc">.415,ops+:lugging">.690,bases:97,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:0
pos:2B,name:Ray Durham,age:34,games:137,plate_appearances:555,at_bats:498,runs:79,hits:146,doubles:30,triples:7,home_runs:26,runs_batted_in:93,stolen_bases:7,caught_stealing:2,walks:51,strikeouts:61,batting_avg:.293,onbase:.360,slugging:.538,ops:erc">.538,ops+:lugging">.898,bases:268,double_plays:17,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:6
pos:SS,name:Omar Vizquel,age:39,games:153,plate_appearances:659,at_bats:579,runs:88,hits:171,doubles:22,triples:10,home_runs:4,runs_batted_in:58,stolen_bases:24,caught_stealing:7,walks:56,strikeouts:51,batting_avg:.295,onbase:.361,slugging:.389,ops:erc">.389,ops+:lugging">.749,bases:225,double_plays:13,hit_by_pitch:6,sac_hits:13,sac_flies:5,intentional_walks:3
pos:3B,name:Pedro Feliz,age:31,games:160,plate_appearances:644,at_bats:603,runs:75,hits:147,doubles:35,triples:5,home_runs:22,runs_batted_in:98,stolen_bases:1,caught_stealing:1,walks:33,strikeouts:112,batting_avg:.244,onbase:.281,slugging:.428,ops:erc">.428,ops+:lugging">.709,bases:258,double_plays:18,hit_by_pitch:1,sac_hits:1,sac_flies:6,intentional_walks:4
pos:LF,name:Barry Bonds,age:41,games:130,plate_appearances:493,at_bats:367,runs:74,hits:99,doubles:23,triples:0,home_runs:26,runs_batted_in:77,stolen_bases:3,caught_stealing:0,walks:115,strikeouts:51,batting_avg:.270,onbase:.454,slugging:.545,ops:erc">.545,ops+:lugging">.999,bases:200,double_plays:9,hit_by_pitch:10,sac_hits:0,sac_flies:1,intentional_walks:38
pos:CF,name:Steve Finley,age:41,games:139,plate_appearances:481,at_bats:426,runs:66,hits:105,doubles:21,triples:12,home_runs:6,runs_batted_in:40,stolen_bases:7,caught_stealing:0,walks:46,strikeouts:55,batting_avg:.246,onbase:.320,slugging:.394,ops:erc">.394,ops+:lugging">.714,bases:168,double_plays:6,hit_by_pitch:2,sac_hits:3,sac_flies:4,intentional_walks:2
pos:RF,name:Randy Winn,age:32,games:149,plate_appearances:635,at_bats:573,runs:82,hits:150,doubles:34,triples:5,home_runs:11,runs_batted_in:56,stolen_bases:10,caught_stealing:8,walks:48,strikeouts:63,batting_avg:.262,onbase:.324,slugging:.396,ops:erc">.396,ops+:lugging">.721,bases:227,double_plays:7,hit_by_pitch:7,sac_hits:3,sac_flies:4,intentional_walks:3
pos:RF,name:Moises Alou,age:39,games:98,plate_appearances:378,at_bats:345,runs:52,hits:104,doubles:25,triples:1,home_runs:22,runs_batted_in:74,stolen_bases:2,caught_stealing:1,walks:28,strikeouts:31,batting_avg:.301,onbase:.352,slugging:.571,ops:erc">.571,ops+:lugging">.923,bases:197,double_plays:15,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:2
pos:1B,name:Mark Sweeney,age:36,games:114,plate_appearances:291,at_bats:259,runs:32,hits:65,doubles:15,triples:2,home_runs:5,runs_batted_in:37,stolen_bases:0,caught_stealing:1,walks:28,strikeouts:50,batting_avg:.251,onbase:.330,slugging:.382,ops:erc">.382,ops+:lugging">.712,bases:99,double_plays:6,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:3
pos:1B,name:Lance Niekro,age:27,games:66,plate_appearances:210,at_bats:199,runs:27,hits:49,doubles:9,triples:2,home_runs:5,runs_batted_in:31,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:32,batting_avg:.246,onbase:.286,slugging:.387,ops:erc">.387,ops+:lugging">.673,bases:77,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
