pos:C,name:Buster Posey,age:31,games:105,plate_appearances:448,at_bats:398,runs:47,hits:113,doubles:22,triples:1,home_runs:5,runs_batted_in:41,stolen_bases:3,caught_stealing:2,walks:45,strikeouts:53,batting_avg:.284,onbase:.359,slugging:.382,ops:erc">.382,ops+:lugging">.741,bases:152,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:3
pos:1B,name:Brandon Belt,age:30,games:112,plate_appearances:456,at_bats:399,runs:50,hits:101,doubles:18,triples:2,home_runs:14,runs_batted_in:46,stolen_bases:4,caught_stealing:0,walks:49,strikeouts:107,batting_avg:.253,onbase:.342,slugging:.414,ops:erc">.414,ops+:lugging">.756,bases:165,double_plays:2,hit_by_pitch:6,sac_hits:0,sac_flies:2,intentional_walks:6
pos:2B,name:Joe Panik,age:27,games:102,plate_appearances:392,at_bats:358,runs:38,hits:91,doubles:14,triples:1,home_runs:4,runs_batted_in:24,stolen_bases:4,caught_stealing:2,walks:26,strikeouts:30,batting_avg:.254,onbase:.307,slugging:.332,ops:erc">.332,ops+:lugging">.639,bases:119,double_plays:10,hit_by_pitch:3,sac_hits:1,sac_flies:4,intentional_walks:3
pos:SS,name:Brandon Crawford,age:31,games:151,plate_appearances:594,at_bats:531,runs:63,hits:135,doubles:28,triples:2,home_runs:14,runs_batted_in:54,stolen_bases:4,caught_stealing:5,walks:50,strikeouts:122,batting_avg:.254,onbase:.325,slugging:.394,ops:erc">.394,ops+:lugging">.719,bases:209,double_plays:12,hit_by_pitch:8,sac_hits:0,sac_flies:5,intentional_walks:13
pos:3B,name:Evan Longoria,age:32,games:125,plate_appearances:512,at_bats:480,runs:51,hits:117,doubles:25,triples:4,home_runs:16,runs_batted_in:54,stolen_bases:3,caught_stealing:1,walks:22,strikeouts:101,batting_avg:.244,onbase:.281,slugging:.413,ops:erc">.413,ops+:lugging">.694,bases:198,double_plays:11,hit_by_pitch:5,sac_hits:0,sac_flies:5,intentional_walks:3
pos:LF,name:Hunter Pence,age:35,games:97,plate_appearances:248,at_bats:235,runs:19,hits:53,doubles:11,triples:1,home_runs:4,runs_batted_in:24,stolen_bases:5,caught_stealing:1,walks:11,strikeouts:59,batting_avg:.226,onbase:.258,slugging:.332,ops:erc">.332,ops+:lugging">.590,bases:78,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:CF,name:Gorkys Hernandez,age:30,games:142,plate_appearances:451,at_bats:414,runs:52,hits:97,doubles:16,triples:2,home_runs:15,runs_batted_in:40,stolen_bases:8,caught_stealing:5,walks:27,strikeouts:113,batting_avg:.234,onbase:.285,slugging:.391,ops:erc">.391,ops+:lugging">.676,bases:162,double_plays:14,hit_by_pitch:4,sac_hits:2,sac_flies:4,intentional_walks:1
pos:RF,name:Andrew McCutchen,age:31,games:130,plate_appearances:568,at_bats:482,runs:65,hits:123,doubles:28,triples:2,home_runs:15,runs_batted_in:55,stolen_bases:13,caught_stealing:6,walks:73,strikeouts:123,batting_avg:.255,onbase:.357,slugging:.415,ops:erc">.415,ops+:lugging">.772,bases:200,double_plays:11,hit_by_pitch:7,sac_hits:0,sac_flies:6,intentional_walks:1
pos:2B,name:Alen Hanson,age:25,games:110,plate_appearances:310,at_bats:294,runs:36,hits:74,doubles:17,triples:5,home_runs:8,runs_batted_in:39,stolen_bases:7,caught_stealing:3,walks:9,strikeouts:71,batting_avg:.252,onbase:.274,slugging:.425,ops:erc">.425,ops+:lugging">.699,bases:125,double_plays:4,hit_by_pitch:1,sac_hits:3,sac_flies:3,intentional_walks:0
pos:C,name:Nick Hundley,age:34,games:96,plate_appearances:305,at_bats:282,runs:34,hits:68,doubles:13,triples:2,home_runs:10,runs_batted_in:31,stolen_bases:2,caught_stealing:1,walks:22,strikeouts:85,batting_avg:.241,onbase:.298,slugging:.408,ops:erc">.408,ops+:lugging">.706,bases:115,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:2
pos:CI,name:Pablo Sandoval,age:31,games:92,plate_appearances:252,at_bats:230,runs:22,hits:57,doubles:10,triples:1,home_runs:9,runs_batted_in:40,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:52,batting_avg:.248,onbase:.310,slugging:.417,ops:erc">.417,ops+:lugging">.727,bases:96,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:2
