pos:C,name:Marc Hill,age:25,games:108,plate_appearances:364,at_bats:320,runs:28,hits:80,doubles:10,triples:0,home_runs:9,runs_batted_in:50,stolen_bases:0,caught_stealing:1,walks:34,strikeouts:34,batting_avg:.250,onbase:.316,slugging:.366,ops:erc">.366,ops+:lugging">.681,bases:117,double_plays:12,hit_by_pitch:0,sac_hits:3,sac_flies:7,intentional_walks:6
pos:1B,name:Willie McCovey,age:39,games:141,plate_appearances:548,at_bats:478,runs:54,hits:134,doubles:21,triples:0,home_runs:28,runs_batted_in:86,stolen_bases:3,caught_stealing:0,walks:67,strikeouts:106,batting_avg:.280,onbase:.367,slugging:.500,ops:erc">.500,ops+:lugging">.867,bases:239,double_plays:16,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:16
pos:2B,name:Rob Andrews,age:24,games:127,plate_appearances:501,at_bats:436,runs:60,hits:115,doubles:11,triples:3,home_runs:0,runs_batted_in:25,stolen_bases:5,caught_stealing:6,walks:56,strikeouts:33,batting_avg:.264,onbase:.345,slugging:.303,ops:erc">.303,ops+:lugging">.648,bases:132,double_plays:6,hit_by_pitch:0,sac_hits:5,sac_flies:3,intentional_walks:0
pos:SS,name:Tim Foli,age:26,games:104,plate_appearances:387,at_bats:368,runs:30,hits:84,doubles:17,triples:3,home_runs:4,runs_batted_in:27,stolen_bases:2,caught_stealing:4,walks:11,strikeouts:16,batting_avg:.228,onbase:.247,slugging:.323,ops:erc">.323,ops+:lugging">.571,bases:119,double_plays:6,hit_by_pitch:0,sac_hits:3,sac_flies:5,intentional_walks:1
pos:3B,name:Bill Madlock,age:26,games:140,plate_appearances:585,at_bats:533,runs:70,hits:161,doubles:28,triples:1,home_runs:12,runs_batted_in:46,stolen_bases:13,caught_stealing:10,walks:43,strikeouts:33,batting_avg:.302,onbase:.360,slugging:.426,ops:erc">.426,ops+:lugging">.785,bases:227,double_plays:25,hit_by_pitch:6,sac_hits:1,sac_flies:2,intentional_walks:14
pos:LF,name:Darrell Evans,age:30,games:144,plate_appearances:539,at_bats:461,runs:64,hits:117,doubles:18,triples:3,home_runs:17,runs_batted_in:72,stolen_bases:9,caught_stealing:6,walks:69,strikeouts:50,batting_avg:.254,onbase:.351,slugging:.416,ops:erc">.416,ops+:lugging">.768,bases:192,double_plays:8,hit_by_pitch:3,sac_hits:1,sac_flies:5,intentional_walks:3
pos:CF,name:Derrel Thomas,age:26,games:148,plate_appearances:568,at_bats:506,runs:75,hits:135,doubles:13,triples:10,home_runs:8,runs_batted_in:44,stolen_bases:15,caught_stealing:13,walks:46,strikeouts:70,batting_avg:.267,onbase:.328,slugging:.379,ops:erc">.379,ops+:lugging">.707,bases:192,double_plays:8,hit_by_pitch:2,sac_hits:10,sac_flies:4,intentional_walks:1
pos:RF,name:Jack Clark,age:21,games:136,plate_appearances:468,at_bats:413,runs:64,hits:104,doubles:17,triples:4,home_runs:13,runs_batted_in:51,stolen_bases:12,caught_stealing:4,walks:49,strikeouts:73,batting_avg:.252,onbase:.332,slugging:.407,ops:erc">.407,ops+:lugging">.739,bases:168,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:2
pos:UT,name:Gary Thomasson,age:25,games:145,plate_appearances:534,at_bats:446,runs:63,hits:114,doubles:24,triples:6,home_runs:17,runs_batted_in:71,stolen_bases:16,caught_stealing:4,walks:75,strikeouts:102,batting_avg:.256,onbase:.358,slugging:.451,ops:erc">.451,ops+:lugging">.809,bases:201,double_plays:7,hit_by_pitch:1,sac_hits:4,sac_flies:8,intentional_walks:8
pos:OF,name:Terry Whitfield,age:24,games:114,plate_appearances:352,at_bats:326,runs:41,hits:93,doubles:21,triples:3,home_runs:7,runs_batted_in:36,stolen_bases:2,caught_stealing:3,walks:20,strikeouts:46,batting_avg:.285,onbase:.329,slugging:.433,ops:erc">.433,ops+:lugging">.761,bases:141,double_plays:4,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:1
pos:2B,name:Vic Harris,age:27,games:69,plate_appearances:189,at_bats:165,runs:28,hits:43,doubles:12,triples:0,home_runs:2,runs_batted_in:14,stolen_bases:2,caught_stealing:1,walks:19,strikeouts:36,batting_avg:.261,onbase:.332,slugging:.370,ops:erc">.370,ops+:lugging">.701,bases:61,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:1
