pos:C,name:Bobby Estalella,age:25,games:106,plate_appearances:361,at_bats:299,runs:45,hits:70,doubles:22,triples:3,home_runs:14,runs_batted_in:53,stolen_bases:3,caught_stealing:0,walks:57,strikeouts:92,batting_avg:.234,onbase:.357,slugging:.468,ops:erc">.468,ops+:lugging">.826,bases:140,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:9
pos:1B,name:J.T. Snow,age:32,games:155,plate_appearances:627,at_bats:536,runs:82,hits:152,doubles:33,triples:2,home_runs:19,runs_batted_in:96,stolen_bases:1,caught_stealing:3,walks:66,strikeouts:129,batting_avg:.284,onbase:.365,slugging:.459,ops:erc">.459,ops+:lugging">.824,bases:246,double_plays:20,hit_by_pitch:11,sac_hits:0,sac_flies:14,intentional_walks:6
pos:2B,name:Jeff Kent,age:32,games:159,plate_appearances:695,at_bats:587,runs:114,hits:196,doubles:41,triples:7,home_runs:33,runs_batted_in:125,stolen_bases:12,caught_stealing:9,walks:90,strikeouts:107,batting_avg:.334,onbase:.424,slugging:.596,ops:erc">.596,ops+:lugging">1.021,bases:350,double_plays:17,hit_by_pitch:9,sac_hits:0,sac_flies:9,intentional_walks:6
pos:SS,name:Rich Aurilia,age:28,games:141,plate_appearances:571,at_bats:509,runs:67,hits:138,doubles:24,triples:2,home_runs:20,runs_batted_in:79,stolen_bases:1,caught_stealing:2,walks:54,strikeouts:90,batting_avg:.271,onbase:.339,slugging:.444,ops:erc">.444,ops+:lugging">.783,bases:226,double_plays:15,hit_by_pitch:0,sac_hits:4,sac_flies:4,intentional_walks:2
pos:3B,name:Bill Mueller,age:29,games:153,plate_appearances:631,at_bats:560,runs:97,hits:150,doubles:29,triples:4,home_runs:10,runs_batted_in:55,stolen_bases:4,caught_stealing:2,walks:52,strikeouts:62,batting_avg:.268,onbase:.333,slugging:.388,ops:erc">.388,ops+:lugging">.721,bases:217,double_plays:16,hit_by_pitch:6,sac_hits:7,sac_flies:6,intentional_walks:0
pos:LF,name:Barry Bonds,age:35,games:143,plate_appearances:607,at_bats:480,runs:129,hits:147,doubles:28,triples:4,home_runs:49,runs_batted_in:106,stolen_bases:11,caught_stealing:3,walks:117,strikeouts:77,batting_avg:.306,onbase:.440,slugging:.688,ops:erc">.688,ops+:lugging">1.127,bases:330,double_plays:6,hit_by_pitch:3,sac_hits:0,sac_flies:7,intentional_walks:22
pos:CF,name:Marvin Benard,age:29,games:149,plate_appearances:633,at_bats:560,runs:102,hits:147,doubles:27,triples:6,home_runs:12,runs_batted_in:55,stolen_bases:22,caught_stealing:7,walks:63,strikeouts:97,batting_avg:.263,onbase:.342,slugging:.396,ops:erc">.396,ops+:lugging">.739,bases:222,double_plays:4,hit_by_pitch:6,sac_hits:2,sac_flies:2,intentional_walks:0
pos:RF,name:Ellis Burks,age:35,games:122,plate_appearances:458,at_bats:393,runs:74,hits:135,doubles:21,triples:5,home_runs:24,runs_batted_in:96,stolen_bases:5,caught_stealing:1,walks:56,strikeouts:49,batting_avg:.344,onbase:.419,slugging:.606,ops:erc">.606,ops+:lugging">1.025,bases:238,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:8,intentional_walks:5
pos:C,name:Doug Mirabelli,age:29,games:82,plate_appearances:273,at_bats:230,runs:23,hits:53,doubles:10,triples:2,home_runs:6,runs_batted_in:28,stolen_bases:1,caught_stealing:0,walks:36,strikeouts:57,batting_avg:.230,onbase:.337,slugging:.370,ops:erc">.370,ops+:lugging">.707,bases:85,double_plays:6,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:2
pos:RF,name:Armando Rios,age:28,games:115,plate_appearances:269,at_bats:233,runs:38,hits:62,doubles:15,triples:5,home_runs:10,runs_batted_in:50,stolen_bases:3,caught_stealing:2,walks:31,strikeouts:43,batting_avg:.266,onbase:.347,slugging:.502,ops:erc">.502,ops+:lugging">.849,bases:117,double_plays:9,hit_by_pitch:0,sac_hits:1,sac_flies:4,intentional_walks:4
pos:CF,name:Calvin Murray,age:28,games:108,plate_appearances:229,at_bats:194,runs:35,hits:47,doubles:12,triples:1,home_runs:2,runs_batted_in:22,stolen_bases:9,caught_stealing:3,walks:29,strikeouts:33,batting_avg:.242,onbase:.348,slugging:.345,ops:erc">.345,ops+:lugging">.693,bases:67,double_plays:0,hit_by_pitch:3,sac_hits:2,sac_flies:1,intentional_walks:0
pos:MI,name:Ramon Martinez,age:27,games:88,plate_appearances:210,at_bats:189,runs:30,hits:57,doubles:13,triples:2,home_runs:6,runs_batted_in:25,stolen_bases:3,caught_stealing:2,walks:15,strikeouts:22,batting_avg:.302,onbase:.354,slugging:.487,ops:erc">.487,ops+:lugging">.841,bases:92,double_plays:6,hit_by_pitch:1,sac_hits:4,sac_flies:1,intentional_walks:1
pos:3B,name:Russ Davis,age:30,games:80,plate_appearances:192,at_bats:180,runs:27,hits:47,doubles:5,triples:0,home_runs:9,runs_batted_in:24,stolen_bases:0,caught_stealing:3,walks:9,strikeouts:29,batting_avg:.261,onbase:.302,slugging:.439,ops:erc">.439,ops+:lugging">.741,bases:79,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Felipe Crespo,age:27,games:89,plate_appearances:150,at_bats:131,runs:17,hits:38,doubles:6,triples:1,home_runs:4,runs_batted_in:29,stolen_bases:3,caught_stealing:2,walks:10,strikeouts:23,batting_avg:.290,onbase:.351,slugging:.443,ops:erc">.443,ops+:lugging">.794,bases:58,double_plays:3,hit_by_pitch:4,sac_hits:2,sac_flies:3,intentional_walks:2
pos:OF,name:Terrell Lowery,age:29,games:24,plate_appearances:42,at_bats:34,runs:13,hits:15,doubles:4,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:7,strikeouts:8,batting_avg:.441,onbase:.548,slugging:.647,ops:erc">.647,ops+:lugging">1.195,bases:22,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
