pos:C,name:Rick Wilkins,age:30,games:66,plate_appearances:210,at_bats:190,runs:18,hits:37,doubles:5,triples:0,home_runs:6,runs_batted_in:23,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:65,batting_avg:.195,onbase:.257,slugging:.316,ops:erc">.316,ops+:lugging">.573,bases:60,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:0
pos:1B,name:J.T. Snow,age:29,games:157,plate_appearances:637,at_bats:531,runs:81,hits:149,doubles:36,triples:1,home_runs:28,runs_batted_in:104,stolen_bases:6,caught_stealing:4,walks:96,strikeouts:124,batting_avg:.281,onbase:.387,slugging:.510,ops:erc">.510,ops+:lugging">.898,bases:271,double_plays:8,hit_by_pitch:1,sac_hits:2,sac_flies:7,intentional_walks:13
pos:2B,name:Jeff Kent,age:29,games:155,plate_appearances:651,at_bats:580,runs:90,hits:145,doubles:38,triples:2,home_runs:29,runs_batted_in:121,stolen_bases:11,caught_stealing:3,walks:48,strikeouts:133,batting_avg:.250,onbase:.316,slugging:.472,ops:erc">.472,ops+:lugging">.789,bases:274,double_plays:14,hit_by_pitch:13,sac_hits:0,sac_flies:10,intentional_walks:6
pos:SS,name:Jose Vizcaino,age:29,games:151,plate_appearances:630,at_bats:568,runs:77,hits:151,doubles:19,triples:7,home_runs:5,runs_batted_in:50,stolen_bases:8,caught_stealing:8,walks:48,strikeouts:87,batting_avg:.266,onbase:.323,slugging:.350,ops:erc">.350,ops+:lugging">.673,bases:199,double_plays:13,hit_by_pitch:0,sac_hits:13,sac_flies:1,intentional_walks:1
pos:3B,name:Bill Mueller,age:26,games:128,plate_appearances:453,at_bats:390,runs:51,hits:114,doubles:26,triples:3,home_runs:7,runs_batted_in:44,stolen_bases:4,caught_stealing:3,walks:48,strikeouts:71,batting_avg:.292,onbase:.369,slugging:.428,ops:erc">.428,ops+:lugging">.797,bases:167,double_plays:10,hit_by_pitch:3,sac_hits:6,sac_flies:6,intentional_walks:1
pos:LF,name:Barry Bonds,age:32,games:159,plate_appearances:690,at_bats:532,runs:123,hits:155,doubles:26,triples:5,home_runs:40,runs_batted_in:101,stolen_bases:37,caught_stealing:8,walks:145,strikeouts:87,batting_avg:.291,onbase:.446,slugging:.585,ops:erc">.585,ops+:lugging">1.031,bases:311,double_plays:13,hit_by_pitch:8,sac_hits:0,sac_flies:5,intentional_walks:34
pos:CF,name:Darryl Hamilton,age:32,games:125,plate_appearances:529,at_bats:460,runs:78,hits:124,doubles:23,triples:3,home_runs:5,runs_batted_in:43,stolen_bases:15,caught_stealing:10,walks:61,strikeouts:61,batting_avg:.270,onbase:.354,slugging:.365,ops:erc">.365,ops+:lugging">.719,bases:168,double_plays:6,hit_by_pitch:0,sac_hits:6,sac_flies:2,intentional_walks:1
pos:RF,name:Glenallen Hill,age:32,games:128,plate_appearances:428,at_bats:398,runs:47,hits:104,doubles:28,triples:4,home_runs:11,runs_batted_in:64,stolen_bases:7,caught_stealing:4,walks:19,strikeouts:87,batting_avg:.261,onbase:.297,slugging:.435,ops:erc">.435,ops+:lugging">.731,bases:173,double_plays:8,hit_by_pitch:4,sac_hits:0,sac_flies:7,intentional_walks:0
pos:OF,name:Stan Javier,age:33,games:142,plate_appearances:510,at_bats:440,runs:69,hits:126,doubles:16,triples:4,home_runs:8,runs_batted_in:50,stolen_bases:25,caught_stealing:3,walks:56,strikeouts:70,batting_avg:.286,onbase:.368,slugging:.395,ops:erc">.395,ops+:lugging">.764,bases:174,double_plays:5,hit_by_pitch:5,sac_hits:2,sac_flies:7,intentional_walks:1
pos:IF,name:Mark Lewis,age:27,games:118,plate_appearances:372,at_bats:341,runs:50,hits:91,doubles:14,triples:6,home_runs:10,runs_batted_in:42,stolen_bases:3,caught_stealing:2,walks:23,strikeouts:62,batting_avg:.267,onbase:.318,slugging:.431,ops:erc">.431,ops+:lugging">.749,bases:147,double_plays:8,hit_by_pitch:4,sac_hits:1,sac_flies:3,intentional_walks:2
pos:C,name:Brian Johnson,age:29,games:56,plate_appearances:201,at_bats:179,runs:19,hits:50,doubles:7,triples:2,home_runs:11,runs_batted_in:27,stolen_bases:0,caught_stealing:1,walks:14,strikeouts:26,batting_avg:.279,onbase:.333,slugging:.525,ops:erc">.525,ops+:lugging">.858,bases:94,double_plays:8,hit_by_pitch:2,sac_hits:3,sac_flies:3,intentional_walks:7
pos:C,name:Damon Berryhill,age:33,games:73,plate_appearances:188,at_bats:167,runs:17,hits:43,doubles:8,triples:0,home_runs:3,runs_batted_in:23,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:29,batting_avg:.257,onbase:.335,slugging:.359,ops:erc">.359,ops+:lugging">.694,bases:60,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:5
pos:OF,name:Marvin Benard,age:26,games:84,plate_appearances:130,at_bats:114,runs:13,hits:26,doubles:4,triples:0,home_runs:1,runs_batted_in:13,stolen_bases:3,caught_stealing:1,walks:13,strikeouts:29,batting_avg:.228,onbase:.315,slugging:.289,ops:erc">.289,ops+:lugging">.605,bases:33,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:SS,name:Rich Aurilia,age:25,games:46,plate_appearances:113,at_bats:102,runs:16,hits:28,doubles:8,triples:0,home_runs:5,runs_batted_in:19,stolen_bases:1,caught_stealing:1,walks:8,strikeouts:15,batting_avg:.275,onbase:.321,slugging:.500,ops:erc">.500,ops+:lugging">.821,bases:51,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:0
pos:C,name:Marcus Jensen,age:24,games:30,plate_appearances:81,at_bats:74,runs:5,hits:11,doubles:2,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:23,batting_avg:.149,onbase:.222,slugging:.216,ops:erc">.216,ops+:lugging">.438,bases:16,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
