pos:C,name:Brian Johnson,age:30,games:99,plate_appearances:346,at_bats:308,runs:34,hits:73,doubles:8,triples:1,home_runs:13,runs_batted_in:34,stolen_bases:0,caught_stealing:2,walks:28,strikeouts:67,batting_avg:.237,onbase:.310,slugging:.396,ops:erc">.396,ops+:lugging">.706,bases:122,double_plays:11,hit_by_pitch:5,sac_hits:4,sac_flies:1,intentional_walks:4
pos:1B,name:J.T. Snow,age:30,games:138,plate_appearances:500,at_bats:435,runs:65,hits:108,doubles:29,triples:1,home_runs:15,runs_batted_in:79,stolen_bases:1,caught_stealing:2,walks:58,strikeouts:84,batting_avg:.248,onbase:.332,slugging:.423,ops:erc">.423,ops+:lugging">.755,bases:184,double_plays:12,hit_by_pitch:0,sac_hits:0,sac_flies:7,intentional_walks:3
pos:2B,name:Jeff Kent,age:30,games:137,plate_appearances:594,at_bats:526,runs:94,hits:156,doubles:37,triples:3,home_runs:31,runs_batted_in:128,stolen_bases:9,caught_stealing:4,walks:48,strikeouts:110,batting_avg:.297,onbase:.359,slugging:.555,ops:erc">.555,ops+:lugging">.914,bases:292,double_plays:16,hit_by_pitch:9,sac_hits:1,sac_flies:10,intentional_walks:4
pos:SS,name:Rich Aurilia,age:26,games:122,plate_appearances:453,at_bats:413,runs:54,hits:110,doubles:27,triples:2,home_runs:9,runs_batted_in:49,stolen_bases:3,caught_stealing:3,walks:31,strikeouts:62,batting_avg:.266,onbase:.319,slugging:.407,ops:erc">.407,ops+:lugging">.726,bases:168,double_plays:3,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:3
pos:3B,name:Bill Mueller,age:27,games:145,plate_appearances:622,at_bats:534,runs:93,hits:157,doubles:27,triples:0,home_runs:9,runs_batted_in:59,stolen_bases:3,caught_stealing:3,walks:79,strikeouts:83,batting_avg:.294,onbase:.383,slugging:.395,ops:erc">.395,ops+:lugging">.778,bases:211,double_plays:12,hit_by_pitch:1,sac_hits:3,sac_flies:5,intentional_walks:1
pos:LF,name:Barry Bonds,age:33,games:156,plate_appearances:697,at_bats:552,runs:120,hits:167,doubles:44,triples:7,home_runs:37,runs_batted_in:122,stolen_bases:28,caught_stealing:12,walks:130,strikeouts:92,batting_avg:.303,onbase:.438,slugging:.609,ops:erc">.609,ops+:lugging">1.047,bases:336,double_plays:15,hit_by_pitch:8,sac_hits:1,sac_flies:6,intentional_walks:29
pos:CF,name:Darryl Hamilton,age:33,games:97,plate_appearances:436,at_bats:367,runs:65,hits:108,doubles:19,triples:2,home_runs:1,runs_batted_in:26,stolen_bases:9,caught_stealing:8,walks:59,strikeouts:53,batting_avg:.294,onbase:.393,slugging:.365,ops:erc">.365,ops+:lugging">.758,bases:134,double_plays:6,hit_by_pitch:2,sac_hits:6,sac_flies:2,intentional_walks:0
pos:RF,name:Stan Javier,age:34,games:135,plate_appearances:490,at_bats:417,runs:63,hits:121,doubles:13,triples:5,home_runs:4,runs_batted_in:49,stolen_bases:21,caught_stealing:5,walks:65,strikeouts:63,batting_avg:.290,onbase:.385,slugging:.374,ops:erc">.374,ops+:lugging">.759,bases:156,double_plays:13,hit_by_pitch:1,sac_hits:4,sac_flies:3,intentional_walks:4
pos:CI,name:Charlie Hayes,age:33,games:111,plate_appearances:366,at_bats:329,runs:39,hits:94,doubles:8,triples:0,home_runs:12,runs_batted_in:62,stolen_bases:2,caught_stealing:1,walks:34,strikeouts:61,batting_avg:.286,onbase:.351,slugging:.419,ops:erc">.419,ops+:lugging">.770,bases:138,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:0
pos:MI,name:Rey Sanchez,age:30,games:109,plate_appearances:339,at_bats:316,runs:44,hits:90,doubles:14,triples:2,home_runs:2,runs_batted_in:30,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:47,batting_avg:.285,onbase:.325,slugging:.361,ops:erc">.361,ops+:lugging">.686,bases:114,double_plays:11,hit_by_pitch:4,sac_hits:1,sac_flies:2,intentional_walks:0
pos:RF,name:Marvin Benard,age:27,games:121,plate_appearances:327,at_bats:286,runs:41,hits:92,doubles:21,triples:1,home_runs:3,runs_batted_in:36,stolen_bases:11,caught_stealing:4,walks:34,strikeouts:39,batting_avg:.322,onbase:.396,slugging:.434,ops:erc">.434,ops+:lugging">.830,bases:124,double_plays:3,hit_by_pitch:2,sac_hits:4,sac_flies:1,intentional_walks:1
pos:C,name:Brent Mayne,age:30,games:94,plate_appearances:317,at_bats:275,runs:26,hits:75,doubles:15,triples:0,home_runs:3,runs_batted_in:32,stolen_bases:2,caught_stealing:1,walks:37,strikeouts:47,batting_avg:.273,onbase:.359,slugging:.360,ops:erc">.360,ops+:lugging">.719,bases:99,double_plays:8,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:3
pos:CF,name:Ellis Burks,age:33,games:42,plate_appearances:177,at_bats:147,runs:22,hits:45,doubles:6,triples:1,home_runs:5,runs_batted_in:22,stolen_bases:8,caught_stealing:1,walks:19,strikeouts:31,batting_avg:.306,onbase:.387,slugging:.463,ops:erc">.463,ops+:lugging">.850,bases:68,double_plays:2,hit_by_pitch:3,sac_hits:4,sac_flies:4,intentional_walks:1
pos:UT,name:Joe Carter,age:38,games:41,plate_appearances:115,at_bats:105,runs:15,hits:31,doubles:7,triples:0,home_runs:7,runs_batted_in:29,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:13,batting_avg:.295,onbase:.322,slugging:.562,ops:erc">.562,ops+:lugging">.884,bases:59,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:4,intentional_walks:0
pos:RF,name:Chris Jones,age:32,games:43,plate_appearances:100,at_bats:90,runs:14,hits:17,doubles:2,triples:1,home_runs:2,runs_batted_in:10,stolen_bases:2,caught_stealing:1,walks:8,strikeouts:28,batting_avg:.189,onbase:.250,slugging:.300,ops:erc">.300,ops+:lugging">.550,bases:27,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:OF,name:Alex Diaz,age:29,games:34,plate_appearances:62,at_bats:62,runs:5,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:1,caught_stealing:1,walks:0,strikeouts:15,batting_avg:.129,onbase:.129,slugging:.161,ops:erc">.161,ops+:lugging">.290,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
