pos:C,name:Larry Cox,age:32,games:105,plate_appearances:271,at_bats:243,runs:18,hits:49,doubles:6,triples:2,home_runs:4,runs_batted_in:20,stolen_bases:1,caught_stealing:2,walks:19,strikeouts:36,batting_avg:.202,onbase:.260,slugging:.292,ops:erc">.292,ops+:lugging">.552,bases:71,double_plays:9,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:1B,name:Bruce Bochte,age:29,games:148,plate_appearances:603,at_bats:520,runs:62,hits:156,doubles:34,triples:4,home_runs:13,runs_batted_in:78,stolen_bases:2,caught_stealing:3,walks:72,strikeouts:81,batting_avg:.300,onbase:.381,slugging:.456,ops:erc">.456,ops+:lugging">.836,bases:237,double_plays:16,hit_by_pitch:0,sac_hits:4,sac_flies:7,intentional_walks:13
pos:2B,name:Julio Cruz,age:25,games:119,plate_appearances:497,at_bats:422,runs:66,hits:88,doubles:9,triples:3,home_runs:2,runs_batted_in:16,stolen_bases:45,caught_stealing:7,walks:59,strikeouts:49,batting_avg:.209,onbase:.306,slugging:.258,ops:erc">.258,ops+:lugging">.564,bases:109,double_plays:6,hit_by_pitch:1,sac_hits:13,sac_flies:2,intentional_walks:0
pos:SS,name:Mario Mendoza,age:29,games:114,plate_appearances:305,at_bats:277,runs:27,hits:68,doubles:6,triples:3,home_runs:2,runs_batted_in:14,stolen_bases:3,caught_stealing:4,walks:16,strikeouts:42,batting_avg:.245,onbase:.286,slugging:.310,ops:erc">.310,ops+:lugging">.596,bases:86,double_plays:5,hit_by_pitch:0,sac_hits:11,sac_flies:1,intentional_walks:0
pos:3B,name:Ted Cox,age:25,games:83,plate_appearances:269,at_bats:247,runs:17,hits:60,doubles:9,triples:0,home_runs:2,runs_batted_in:23,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:25,batting_avg:.243,onbase:.295,slugging:.304,ops:erc">.304,ops+:lugging">.598,bases:75,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:3
pos:LF,name:Dan Meyer,age:27,games:146,plate_appearances:570,at_bats:531,runs:56,hits:146,doubles:25,triples:6,home_runs:11,runs_batted_in:71,stolen_bases:8,caught_stealing:4,walks:31,strikeouts:42,batting_avg:.275,onbase:.314,slugging:.407,ops:erc">.407,ops+:lugging">.721,bases:216,double_plays:11,hit_by_pitch:1,sac_hits:4,sac_flies:3,intentional_walks:4
pos:CF,name:Juan Beniquez,age:30,games:70,plate_appearances:258,at_bats:237,runs:26,hits:54,doubles:10,triples:0,home_runs:6,runs_batted_in:21,stolen_bases:2,caught_stealing:3,walks:17,strikeouts:25,batting_avg:.228,onbase:.278,slugging:.346,ops:erc">.346,ops+:lugging">.624,bases:82,double_plays:10,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:0
pos:RF,name:Leon Roberts,age:29,games:119,plate_appearances:427,at_bats:374,runs:48,hits:94,doubles:18,triples:3,home_runs:10,runs_batted_in:33,stolen_bases:8,caught_stealing:4,walks:43,strikeouts:59,batting_avg:.251,onbase:.325,slugging:.396,ops:erc">.396,ops+:lugging">.721,bases:148,double_plays:12,hit_by_pitch:1,sac_hits:3,sac_flies:6,intentional_walks:1
pos:DH,name:Willie Horton,age:37,games:97,plate_appearances:384,at_bats:335,runs:32,hits:74,doubles:10,triples:1,home_runs:8,runs_batted_in:36,stolen_bases:0,caught_stealing:4,walks:39,strikeouts:70,batting_avg:.221,onbase:.306,slugging:.328,ops:erc">.328,ops+:lugging">.635,bases:110,double_plays:5,hit_by_pitch:4,sac_hits:2,sac_flies:4,intentional_walks:2
pos:UT,name:Tom Paciorek,age:33,games:126,plate_appearances:441,at_bats:418,runs:44,hits:114,doubles:19,triples:1,home_runs:15,runs_batted_in:59,stolen_bases:3,caught_stealing:2,walks:17,strikeouts:67,batting_avg:.273,onbase:.301,slugging:.431,ops:erc">.431,ops+:lugging">.732,bases:180,double_plays:13,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:1
pos:OF,name:Joe Simpson,age:28,games:129,plate_appearances:409,at_bats:365,runs:42,hits:91,doubles:15,triples:3,home_runs:3,runs_batted_in:34,stolen_bases:17,caught_stealing:4,walks:28,strikeouts:43,batting_avg:.249,onbase:.302,slugging:.332,ops:erc">.332,ops+:lugging">.634,bases:121,double_plays:6,hit_by_pitch:1,sac_hits:12,sac_flies:3,intentional_walks:3
pos:IF,name:Jim Anderson,age:23,games:116,plate_appearances:355,at_bats:317,runs:46,hits:72,doubles:7,triples:0,home_runs:8,runs_batted_in:30,stolen_bases:2,caught_stealing:4,walks:27,strikeouts:39,batting_avg:.227,onbase:.292,slugging:.325,ops:erc">.325,ops+:lugging">.617,bases:103,double_plays:5,hit_by_pitch:3,sac_hits:6,sac_flies:2,intentional_walks:1
pos:MI,name:Larry Milbourne,age:29,games:106,plate_appearances:296,at_bats:258,runs:31,hits:68,doubles:6,triples:6,home_runs:0,runs_batted_in:26,stolen_bases:7,caught_stealing:6,walks:19,strikeouts:13,batting_avg:.264,onbase:.313,slugging:.333,ops:erc">.333,ops+:lugging">.647,bases:86,double_plays:8,hit_by_pitch:1,sac_hits:15,sac_flies:3,intentional_walks:4
pos:CF,name:Rod Craig,age:22,games:70,plate_appearances:264,at_bats:240,runs:30,hits:57,doubles:15,triples:1,home_runs:3,runs_batted_in:20,stolen_bases:3,caught_stealing:6,walks:17,strikeouts:35,batting_avg:.238,onbase:.293,slugging:.346,ops:erc">.346,ops+:lugging">.639,bases:83,double_plays:5,hit_by_pitch:2,sac_hits:5,sac_flies:0,intentional_walks:3
pos:3B,name:Bill Stein,age:33,games:67,plate_appearances:225,at_bats:198,runs:16,hits:53,doubles:5,triples:1,home_runs:5,runs_batted_in:27,stolen_bases:1,caught_stealing:1,walks:16,strikeouts:25,batting_avg:.268,onbase:.321,slugging:.379,ops:erc">.379,ops+:lugging">.700,bases:75,double_plays:5,hit_by_pitch:1,sac_hits:7,sac_flies:3,intentional_walks:4
pos:C,name:Jerry Narron,age:24,games:48,plate_appearances:123,at_bats:107,runs:7,hits:21,doubles:3,triples:0,home_runs:4,runs_batted_in:18,stolen_bases:0,caught_stealing:0,walks:13,strikeouts:18,batting_avg:.196,onbase:.279,slugging:.336,ops:erc">.336,ops+:lugging">.615,bases:36,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:2
pos:C,name:Bob Stinson,age:34,games:48,plate_appearances:122,at_bats:107,runs:6,hits:23,doubles:2,triples:0,home_runs:1,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:9,strikeouts:19,batting_avg:.215,onbase:.277,slugging:.262,ops:erc">.262,ops+:lugging">.539,bases:28,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:0
pos:3B,name:Dave Edler,age:23,games:28,plate_appearances:99,at_bats:89,runs:11,hits:20,doubles:1,triples:0,home_runs:3,runs_batted_in:9,stolen_bases:2,caught_stealing:3,walks:8,strikeouts:16,batting_avg:.225,onbase:.289,slugging:.337,ops:erc">.337,ops+:lugging">.626,bases:30,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:1
pos:OF,name:Reggie Walton,age:27,games:31,plate_appearances:88,at_bats:83,runs:8,hits:23,doubles:6,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:2,caught_stealing:2,walks:3,strikeouts:10,batting_avg:.277,onbase:.307,slugging:.422,ops:erc">.422,ops+:lugging">.729,bases:35,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Marc Hill,age:28,games:29,plate_appearances:74,at_bats:70,runs:8,hits:16,doubles:2,triples:1,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:10,batting_avg:.229,onbase:.260,slugging:.371,ops:erc">.371,ops+:lugging">.632,bases:26,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:2B,name:Kim Allen,age:27,games:23,plate_appearances:62,at_bats:51,runs:9,hits:12,doubles:3,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:10,caught_stealing:3,walks:8,strikeouts:3,batting_avg:.235,onbase:.350,slugging:.294,ops:erc">.294,ops+:lugging">.644,bases:15,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:2
pos:P,name:Rob Dressler,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Gary Wheelock,age:28,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Byron McLaughlin,age:24,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Parrott,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Glenn Abbott,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Shane Rawley,age:24,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Roberts,age:35,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rick Honeycutt,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Beattie,age:25,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Manny Sarmiento,age:24,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rick Anderson,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Floyd Bannister,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Heaverlo,age:29,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
