pos:C,name:Jose Molina,age:33,games:100,plate_appearances:297,at_bats:268,runs:32,hits:58,doubles:17,triples:0,home_runs:3,runs_batted_in:18,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:52,batting_avg:.216,onbase:.263,slugging:.313,ops:erc">.313,ops+:lugging">.576,bases:84,double_plays:9,hit_by_pitch:6,sac_hits:8,sac_flies:3,intentional_walks:0
pos:1B,name:Jason Giambi,age:37,games:145,plate_appearances:565,at_bats:458,runs:68,hits:113,doubles:19,triples:1,home_runs:32,runs_batted_in:96,stolen_bases:2,caught_stealing:1,walks:76,strikeouts:111,batting_avg:.247,onbase:.373,slugging:.502,ops:erc">.502,ops+:lugging">.876,bases:230,double_plays:6,hit_by_pitch:22,sac_hits:0,sac_flies:9,intentional_walks:5
pos:2B,name:Robinson Cano,age:25,games:159,plate_appearances:634,at_bats:597,runs:70,hits:162,doubles:35,triples:3,home_runs:14,runs_batted_in:72,stolen_bases:2,caught_stealing:4,walks:26,strikeouts:65,batting_avg:.271,onbase:.305,slugging:.410,ops:erc">.410,ops+:lugging">.715,bases:245,double_plays:18,hit_by_pitch:5,sac_hits:1,sac_flies:5,intentional_walks:3
pos:SS,name:Derek Jeter,age:34,games:150,plate_appearances:668,at_bats:596,runs:88,hits:179,doubles:25,triples:3,home_runs:11,runs_batted_in:69,stolen_bases:11,caught_stealing:5,walks:52,strikeouts:85,batting_avg:.300,onbase:.363,slugging:.408,ops:erc">.408,ops+:lugging">.771,bases:243,double_plays:24,hit_by_pitch:9,sac_hits:7,sac_flies:4,intentional_walks:0
pos:3B,name:Alex Rodriguez,age:32,games:138,plate_appearances:594,at_bats:510,runs:104,hits:154,doubles:33,triples:0,home_runs:35,runs_batted_in:103,stolen_bases:18,caught_stealing:3,walks:65,strikeouts:117,batting_avg:.302,onbase:.392,slugging:.573,ops:erc">.573,ops+:lugging">.965,bases:292,double_plays:16,hit_by_pitch:14,sac_hits:0,sac_flies:5,intentional_walks:9
pos:LF,name:Johnny Damon,age:34,games:143,plate_appearances:623,at_bats:555,runs:95,hits:168,doubles:27,triples:5,home_runs:17,runs_batted_in:71,stolen_bases:29,caught_stealing:8,walks:64,strikeouts:82,batting_avg:.303,onbase:.375,slugging:.461,ops:erc">.461,ops+:lugging">.836,bases:256,double_plays:5,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:CF,name:Melky Cabrera,age:23,games:129,plate_appearances:453,at_bats:414,runs:42,hits:103,doubles:12,triples:1,home_runs:8,runs_batted_in:37,stolen_bases:9,caught_stealing:2,walks:29,strikeouts:58,batting_avg:.249,onbase:.301,slugging:.341,ops:erc">.341,ops+:lugging">.641,bases:141,double_plays:11,hit_by_pitch:3,sac_hits:4,sac_flies:3,intentional_walks:5
pos:RF,name:Bobby Abreu,age:34,games:156,plate_appearances:684,at_bats:609,runs:100,hits:180,doubles:39,triples:4,home_runs:20,runs_batted_in:100,stolen_bases:22,caught_stealing:11,walks:73,strikeouts:109,batting_avg:.296,onbase:.371,slugging:.471,ops:erc">.471,ops+:lugging">.843,bases:287,double_plays:14,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:DH,name:Hideki Matsui,age:34,games:93,plate_appearances:378,at_bats:337,runs:43,hits:99,doubles:17,triples:0,home_runs:9,runs_batted_in:45,stolen_bases:0,caught_stealing:0,walks:38,strikeouts:47,batting_avg:.294,onbase:.370,slugging:.424,ops:erc">.424,ops+:lugging">.795,bases:143,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:6
pos:LF,name:Xavier Nady,age:29,games:59,plate_appearances:247,at_bats:228,runs:26,hits:61,doubles:11,triples:0,home_runs:12,runs_batted_in:40,stolen_bases:1,caught_stealing:1,walks:14,strikeouts:48,batting_avg:.268,onbase:.320,slugging:.474,ops:erc">.474,ops+:lugging">.794,bases:108,double_plays:5,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:1
pos:1B,name:Wilson Betemit,age:26,games:87,plate_appearances:198,at_bats:189,runs:24,hits:50,doubles:13,triples:0,home_runs:6,runs_batted_in:25,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:56,batting_avg:.265,onbase:.289,slugging:.429,ops:erc">.429,ops+:lugging">.718,bases:81,double_plays:7,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:C,name:Jorge Posada,age:36,games:51,plate_appearances:195,at_bats:168,runs:18,hits:45,doubles:13,triples:1,home_runs:3,runs_batted_in:22,stolen_bases:0,caught_stealing:0,walks:24,strikeouts:38,batting_avg:.268,onbase:.364,slugging:.411,ops:erc">.411,ops+:lugging">.775,bases:69,double_plays:7,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:3
pos:OF,name:Brett Gardner,age:24,games:42,plate_appearances:141,at_bats:127,runs:18,hits:29,doubles:5,triples:2,home_runs:0,runs_batted_in:16,stolen_bases:13,caught_stealing:1,walks:8,strikeouts:30,batting_avg:.228,onbase:.283,slugging:.299,ops:erc">.299,ops+:lugging">.582,bases:38,double_plays:0,hit_by_pitch:2,sac_hits:3,sac_flies:1,intentional_walks:0
pos:C,name:Chad Moeller,age:33,games:41,plate_appearances:103,at_bats:91,runs:13,hits:21,doubles:6,triples:0,home_runs:1,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:18,batting_avg:.231,onbase:.311,slugging:.330,ops:erc">.330,ops+:lugging">.640,bases:30,double_plays:2,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:1
pos:C,name:Ivan Rodriguez,age:36,games:33,plate_appearances:101,at_bats:96,runs:11,hits:21,doubles:4,triples:0,home_runs:2,runs_batted_in:3,stolen_bases:4,caught_stealing:0,walks:4,strikeouts:15,batting_avg:.219,onbase:.257,slugging:.323,ops:erc">.323,ops+:lugging">.580,bases:31,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:3B,name:Morgan Ensberg,age:32,games:28,plate_appearances:80,at_bats:74,runs:6,hits:15,doubles:0,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:22,batting_avg:.203,onbase:.263,slugging:.243,ops:erc">.243,ops+:lugging">.506,bases:18,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Shelley Duncan,age:28,games:23,plate_appearances:65,at_bats:57,runs:7,hits:10,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:13,batting_avg:.175,onbase:.262,slugging:.281,ops:erc">.281,ops+:lugging">.542,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:IF,name:Alberto Gonzalez,age:25,games:28,plate_appearances:58,at_bats:52,runs:4,hits:9,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:8,batting_avg:.173,onbase:.232,slugging:.212,ops:erc">.212,ops+:lugging">.444,bases:11,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:IF,name:Cody Ransom,age:32,games:33,plate_appearances:51,at_bats:43,runs:9,hits:13,doubles:3,triples:0,home_runs:4,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:12,batting_avg:.302,onbase:.400,slugging:.651,ops:erc">.651,ops+:lugging">1.051,bases:28,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Justin Christian,age:28,games:24,plate_appearances:43,at_bats:40,runs:6,hits:10,doubles:3,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:7,caught_stealing:1,walks:3,strikeouts:4,batting_avg:.250,onbase:.302,slugging:.325,ops:erc">.325,ops+:lugging">.627,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Richie Sexson,age:33,games:22,plate_appearances:35,at_bats:28,runs:2,hits:7,doubles:1,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:10,batting_avg:.250,onbase:.371,slugging:.393,ops:erc">.393,ops+:lugging">.764,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Juan Miranda,age:25,games:5,plate_appearances:14,at_bats:10,runs:2,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.400,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:5,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Francisco Cervelli,age:22,games:3,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Chris Stewart,age:26,games:1,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joba Chamberlain,age:22,games:2,plate_appearances:5,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.000,onbase:.250,slugging:.000,ops:erc">.000,ops+:lugging">.250,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Mike Mussina,age:39,games:2,plate_appearances:5,at_bats:5,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
