pos:C,name:Humberto Cota,age:26,games:93,plate_appearances:320,at_bats:297,runs:29,hits:72,doubles:20,triples:1,home_runs:7,runs_batted_in:43,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:80,batting_avg:.242,onbase:.285,slugging:.387,ops:erc">.387,ops+:lugging">.672,bases:115,double_plays:8,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:2
pos:1B,name:Daryle Ward,age:30,games:133,plate_appearances:453,at_bats:407,runs:46,hits:106,doubles:21,triples:1,home_runs:12,runs_batted_in:63,stolen_bases:0,caught_stealing:2,walks:37,strikeouts:60,batting_avg:.260,onbase:.318,slugging:.405,ops:erc">.405,ops+:lugging">.723,bases:165,double_plays:18,hit_by_pitch:1,sac_hits:0,sac_flies:8,intentional_walks:10
pos:2B,name:Jose Castillo,age:24,games:101,plate_appearances:398,at_bats:370,runs:49,hits:99,doubles:16,triples:3,home_runs:11,runs_batted_in:53,stolen_bases:2,caught_stealing:3,walks:23,strikeouts:59,batting_avg:.268,onbase:.307,slugging:.416,ops:erc">.416,ops+:lugging">.724,bases:154,double_plays:11,hit_by_pitch:0,sac_hits:1,sac_flies:4,intentional_walks:3
pos:SS,name:Jack Wilson,age:27,games:158,plate_appearances:639,at_bats:587,runs:60,hits:151,doubles:24,triples:7,home_runs:8,runs_batted_in:52,stolen_bases:7,caught_stealing:3,walks:31,strikeouts:58,batting_avg:.257,onbase:.299,slugging:.363,ops:erc">.363,ops+:lugging">.662,bases:213,double_plays:11,hit_by_pitch:6,sac_hits:11,sac_flies:4,intentional_walks:6
pos:3B,name:Freddy Sanchez,age:27,games:132,plate_appearances:492,at_bats:453,runs:54,hits:132,doubles:26,triples:4,home_runs:5,runs_batted_in:35,stolen_bases:2,caught_stealing:2,walks:27,strikeouts:36,batting_avg:.291,onbase:.336,slugging:.400,ops:erc">.400,ops+:lugging">.736,bases:181,double_plays:6,hit_by_pitch:5,sac_hits:4,sac_flies:3,intentional_walks:1
pos:LF,name:Jason Bay,age:26,games:162,plate_appearances:707,at_bats:599,runs:110,hits:183,doubles:44,triples:6,home_runs:32,runs_batted_in:101,stolen_bases:21,caught_stealing:1,walks:95,strikeouts:142,batting_avg:.306,onbase:.402,slugging:.559,ops:erc">.559,ops+:lugging">.961,bases:335,double_plays:12,hit_by_pitch:6,sac_hits:0,sac_flies:7,intentional_walks:9
pos:CF,name:Tike Redman,age:28,games:135,plate_appearances:344,at_bats:319,runs:33,hits:80,doubles:12,triples:4,home_runs:2,runs_batted_in:26,stolen_bases:4,caught_stealing:1,walks:19,strikeouts:27,batting_avg:.251,onbase:.292,slugging:.332,ops:erc">.332,ops+:lugging">.625,bases:106,double_plays:8,hit_by_pitch:1,sac_hits:2,sac_flies:3,intentional_walks:0
pos:RF,name:Matt Lawton,age:33,games:101,plate_appearances:445,at_bats:374,runs:53,hits:102,doubles:28,triples:1,home_runs:10,runs_batted_in:44,stolen_bases:16,caught_stealing:9,walks:58,strikeouts:61,batting_avg:.273,onbase:.380,slugging:.433,ops:erc">.433,ops+:lugging">.813,bases:162,double_plays:7,hit_by_pitch:9,sac_hits:0,sac_flies:4,intentional_walks:0
pos:UT,name:Rob Mackowiak,age:29,games:142,plate_appearances:512,at_bats:463,runs:57,hits:126,doubles:21,triples:3,home_runs:9,runs_batted_in:58,stolen_bases:8,caught_stealing:4,walks:43,strikeouts:100,batting_avg:.272,onbase:.337,slugging:.389,ops:erc">.389,ops+:lugging">.726,bases:180,double_plays:7,hit_by_pitch:3,sac_hits:2,sac_flies:1,intentional_walks:4
pos:C,name:Ryan Doumit,age:24,games:75,plate_appearances:257,at_bats:231,runs:25,hits:59,doubles:13,triples:1,home_runs:6,runs_batted_in:35,stolen_bases:2,caught_stealing:1,walks:11,strikeouts:48,batting_avg:.255,onbase:.324,slugging:.398,ops:erc">.398,ops+:lugging">.722,bases:92,double_plays:5,hit_by_pitch:13,sac_hits:1,sac_flies:1,intentional_walks:1
pos:OF,name:Craig Wilson,age:28,games:59,plate_appearances:238,at_bats:197,runs:23,hits:52,doubles:14,triples:1,home_runs:5,runs_batted_in:22,stolen_bases:3,caught_stealing:0,walks:30,strikeouts:69,batting_avg:.264,onbase:.387,slugging:.421,ops:erc">.421,ops+:lugging">.808,bases:83,double_plays:6,hit_by_pitch:10,sac_hits:0,sac_flies:1,intentional_walks:2
pos:1B,name:Brad Eldred,age:24,games:55,plate_appearances:208,at_bats:190,runs:23,hits:42,doubles:9,triples:0,home_runs:12,runs_batted_in:27,stolen_bases:1,caught_stealing:1,walks:13,strikeouts:77,batting_avg:.221,onbase:.279,slugging:.458,ops:erc">.458,ops+:lugging">.737,bases:87,double_plays:5,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:0
pos:3B,name:Ty Wigginton,age:27,games:57,plate_appearances:171,at_bats:155,runs:20,hits:40,doubles:9,triples:1,home_runs:7,runs_batted_in:25,stolen_bases:0,caught_stealing:1,walks:14,strikeouts:30,batting_avg:.258,onbase:.324,slugging:.465,ops:erc">.465,ops+:lugging">.788,bases:72,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:CF,name:Chris Duffy,age:25,games:39,plate_appearances:136,at_bats:126,runs:22,hits:43,doubles:4,triples:2,home_runs:1,runs_batted_in:9,stolen_bases:2,caught_stealing:2,walks:7,strikeouts:22,batting_avg:.341,onbase:.385,slugging:.429,ops:erc">.429,ops+:lugging">.814,bases:54,double_plays:1,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:0
pos:CF,name:Nate McLouth,age:23,games:41,plate_appearances:120,at_bats:109,runs:20,hits:28,doubles:6,triples:0,home_runs:5,runs_batted_in:12,stolen_bases:2,caught_stealing:0,walks:3,strikeouts:20,batting_avg:.257,onbase:.305,slugging:.450,ops:erc">.450,ops+:lugging">.755,bases:49,double_plays:3,hit_by_pitch:5,sac_hits:2,sac_flies:1,intentional_walks:0
pos:C,name:David Ross,age:28,games:40,plate_appearances:119,at_bats:108,runs:9,hits:24,doubles:8,triples:0,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:24,batting_avg:.222,onbase:.263,slugging:.380,ops:erc">.380,ops+:lugging">.642,bases:41,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:0
pos:3B,name:Bobby Hill,age:27,games:58,plate_appearances:105,at_bats:93,runs:12,hits:25,doubles:6,triples:0,home_runs:0,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:9,strikeouts:17,batting_avg:.269,onbase:.343,slugging:.333,ops:erc">.333,ops+:lugging">.676,bases:31,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Michael Restovich,age:26,games:52,plate_appearances:92,at_bats:84,runs:10,hits:18,doubles:3,triples:1,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:24,batting_avg:.214,onbase:.283,slugging:.345,ops:erc">.345,ops+:lugging">.628,bases:29,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Jose Bautista,age:24,games:11,plate_appearances:31,at_bats:28,runs:3,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:7,batting_avg:.143,onbase:.226,slugging:.179,ops:erc">.179,ops+:lugging">.404,bases:5,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:J.J. Furmaniak,age:25,games:13,plate_appearances:30,at_bats:26,runs:3,hits:5,doubles:1,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:4,batting_avg:.192,onbase:.300,slugging:.308,ops:erc">.308,ops+:lugging">.608,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Benito Santiago,age:40,games:6,plate_appearances:23,at_bats:23,runs:1,hits:6,doubles:1,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.261,onbase:.261,slugging:.391,ops:erc">.391,ops+:lugging">.652,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Jody Gerut,age:27,games:4,plate_appearances:18,at_bats:18,runs:2,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.222,onbase:.222,slugging:.278,ops:erc">.278,ops+:lugging">.500,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Ray Sadler,age:24,games:3,plate_appearances:8,at_bats:8,runs:1,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.250,onbase:.250,slugging:.625,ops:erc">.625,ops+:lugging">.875,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Ronny Paulino,age:24,games:2,plate_appearances:5,at_bats:4,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.500,onbase:.600,slugging:.500,ops:erc">.500,ops+:lugging">1.100,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Alfredo Amezaga,age:27,games:3,plate_appearances:4,at_bats:3,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.000,onbase:.250,slugging:.000,ops:erc">.000,ops+:lugging">.250,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kip Wells,age:28,games:32,plate_appearances:61,at_bats:57,runs:4,hits:9,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:26,batting_avg:.158,onbase:.172,slugging:.228,ops:erc">.228,ops+:lugging">.400,bases:13,double_plays:0,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Mark Redman,age:31,games:29,plate_appearances:60,at_bats:53,runs:1,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:21,batting_avg:.113,onbase:.161,slugging:.113,ops:erc">.113,ops+:lugging">.274,bases:6,double_plays:4,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Josh Fogg,age:28,games:33,plate_appearances:56,at_bats:47,runs:3,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.106,onbase:.160,slugging:.128,ops:erc">.128,ops+:lugging">.288,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:David Williams,age:26,games:24,plate_appearances:50,at_bats:42,runs:2,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:21,batting_avg:.119,onbase:.136,slugging:.143,ops:erc">.143,ops+:lugging">.279,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:1,intentional_walks:0
pos:P,name:Oliver Perez,age:23,games:19,plate_appearances:42,at_bats:33,runs:1,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:11,batting_avg:.182,onbase:.200,slugging:.182,ops:erc">.182,ops+:lugging">.382,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:1,intentional_walks:0
pos:P,name:Zach Duke,age:22,games:14,plate_appearances:31,at_bats:28,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:10,batting_avg:.143,onbase:.194,slugging:.143,ops:erc">.143,ops+:lugging">.336,bases:4,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:P,name:Paul Maholm,age:23,games:6,plate_appearances:17,at_bats:15,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.133,onbase:.188,slugging:.133,ops:erc">.133,ops+:lugging">.321,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Ryan Vogelsong,age:27,games:41,plate_appearances:10,at_bats:9,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.111,onbase:.200,slugging:.222,ops:erc">.222,ops+:lugging">.422,bases:2,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ian Snell,age:23,games:15,plate_appearances:8,at_bats:8,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Salomon Torres,age:33,games:75,plate_appearances:4,at_bats:4,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tom Gorzelanny,age:22,games:3,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
