pos:C,name:Ivan Rodriguez,age:36,games:82,plate_appearances:328,at_bats:302,runs:33,hits:89,doubles:16,triples:3,home_runs:5,runs_batted_in:32,stolen_bases:6,caught_stealing:1,walks:19,strikeouts:52,batting_avg:.295,onbase:.338,slugging:.417,ops:erc">.417,ops+:lugging">.756,bases:126,double_plays:9,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:1
pos:1B,name:Miguel Cabrera,age:25,games:160,plate_appearances:684,at_bats:616,runs:85,hits:180,doubles:36,triples:2,home_runs:37,runs_batted_in:127,stolen_bases:1,caught_stealing:0,walks:56,strikeouts:126,batting_avg:.292,onbase:.349,slugging:.537,ops:erc">.537,ops+:lugging">.887,bases:331,double_plays:16,hit_by_pitch:3,sac_hits:0,sac_flies:9,intentional_walks:6
pos:2B,name:Placido Polanco,age:32,games:141,plate_appearances:629,at_bats:580,runs:90,hits:178,doubles:34,triples:3,home_runs:8,runs_batted_in:58,stolen_bases:7,caught_stealing:1,walks:35,strikeouts:43,batting_avg:.307,onbase:.350,slugging:.417,ops:erc">.417,ops+:lugging">.768,bases:242,double_plays:14,hit_by_pitch:6,sac_hits:4,sac_flies:4,intentional_walks:2
pos:SS,name:Edgar Renteria,age:31,games:138,plate_appearances:547,at_bats:503,runs:69,hits:136,doubles:22,triples:2,home_runs:10,runs_batted_in:55,stolen_bases:6,caught_stealing:3,walks:37,strikeouts:64,batting_avg:.270,onbase:.317,slugging:.382,ops:erc">.382,ops+:lugging">.699,bases:192,double_plays:19,hit_by_pitch:0,sac_hits:2,sac_flies:5,intentional_walks:1
pos:3B,name:Carlos Guillen,age:32,games:113,plate_appearances:489,at_bats:420,runs:68,hits:120,doubles:29,triples:2,home_runs:10,runs_batted_in:54,stolen_bases:9,caught_stealing:3,walks:60,strikeouts:67,batting_avg:.286,onbase:.376,slugging:.436,ops:erc">.436,ops+:lugging">.811,bases:183,double_plays:11,hit_by_pitch:3,sac_hits:2,sac_flies:4,intentional_walks:3
pos:LF,name:Marcus Thames,age:31,games:103,plate_appearances:342,at_bats:316,runs:50,hits:76,doubles:12,triples:0,home_runs:25,runs_batted_in:56,stolen_bases:0,caught_stealing:3,walks:24,strikeouts:95,batting_avg:.241,onbase:.292,slugging:.516,ops:erc">.516,ops+:lugging">.808,bases:163,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:CF,name:Curtis Granderson,age:27,games:141,plate_appearances:629,at_bats:553,runs:112,hits:155,doubles:26,triples:13,home_runs:22,runs_batted_in:66,stolen_bases:12,caught_stealing:4,walks:71,strikeouts:111,batting_avg:.280,onbase:.365,slugging:.494,ops:erc">.494,ops+:lugging">.858,bases:273,double_plays:7,hit_by_pitch:3,sac_hits:1,sac_flies:1,intentional_walks:1
pos:RF,name:Magglio Ordonez,age:34,games:146,plate_appearances:623,at_bats:561,runs:72,hits:178,doubles:32,triples:2,home_runs:21,runs_batted_in:103,stolen_bases:1,caught_stealing:5,walks:53,strikeouts:76,batting_avg:.317,onbase:.376,slugging:.494,ops:erc">.494,ops+:lugging">.869,bases:277,double_plays:27,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:2
pos:DH,name:Gary Sheffield,age:39,games:114,plate_appearances:482,at_bats:418,runs:52,hits:94,doubles:16,triples:0,home_runs:19,runs_batted_in:57,stolen_bases:9,caught_stealing:2,walks:58,strikeouts:83,batting_avg:.225,onbase:.326,slugging:.400,ops:erc">.400,ops+:lugging">.725,bases:167,double_plays:19,hit_by_pitch:5,sac_hits:0,sac_flies:1,intentional_walks:3
pos:UT,name:Brandon Inge,age:31,games:113,plate_appearances:407,at_bats:347,runs:41,hits:71,doubles:16,triples:4,home_runs:11,runs_batted_in:51,stolen_bases:4,caught_stealing:3,walks:43,strikeouts:94,batting_avg:.205,onbase:.303,slugging:.369,ops:erc">.369,ops+:lugging">.672,bases:128,double_plays:4,hit_by_pitch:8,sac_hits:5,sac_flies:4,intentional_walks:2
pos:OF,name:Matthew Joyce,age:23,games:92,plate_appearances:277,at_bats:242,runs:40,hits:61,doubles:16,triples:3,home_runs:12,runs_batted_in:33,stolen_bases:0,caught_stealing:2,walks:31,strikeouts:65,batting_avg:.252,onbase:.339,slugging:.492,ops:erc">.492,ops+:lugging">.831,bases:119,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
