pos:C,name:Raul Casanova,age:24,games:101,plate_appearances:334,at_bats:304,runs:27,hits:74,doubles:10,triples:1,home_runs:5,runs_batted_in:24,stolen_bases:1,caught_stealing:1,walks:26,strikeouts:48,batting_avg:.243,onbase:.308,slugging:.332,ops:erc">.332,ops+:lugging">.641,bases:101,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:1
pos:1B,name:Tony Clark,age:25,games:159,plate_appearances:681,at_bats:580,runs:105,hits:160,doubles:28,triples:3,home_runs:32,runs_batted_in:117,stolen_bases:1,caught_stealing:3,walks:93,strikeouts:144,batting_avg:.276,onbase:.376,slugging:.500,ops:erc">.500,ops+:lugging">.876,bases:290,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:13
pos:2B,name:Damion Easley,age:27,games:151,plate_appearances:620,at_bats:527,runs:97,hits:139,doubles:37,triples:3,home_runs:22,runs_batted_in:72,stolen_bases:28,caught_stealing:13,walks:68,strikeouts:102,batting_avg:.264,onbase:.362,slugging:.471,ops:erc">.471,ops+:lugging">.833,bases:248,double_plays:18,hit_by_pitch:16,sac_hits:4,sac_flies:5,intentional_walks:3
pos:SS,name:Deivi Cruz,age:24,games:147,plate_appearances:467,at_bats:436,runs:35,hits:105,doubles:26,triples:0,home_runs:2,runs_batted_in:40,stolen_bases:3,caught_stealing:6,walks:14,strikeouts:55,batting_avg:.241,onbase:.263,slugging:.314,ops:erc">.314,ops+:lugging">.577,bases:137,double_plays:9,hit_by_pitch:0,sac_hits:14,sac_flies:3,intentional_walks:0
pos:3B,name:Travis Fryman,age:28,games:154,plate_appearances:657,at_bats:595,runs:90,hits:163,doubles:27,triples:3,home_runs:22,runs_batted_in:102,stolen_bases:16,caught_stealing:3,walks:46,strikeouts:113,batting_avg:.274,onbase:.326,slugging:.440,ops:erc">.440,ops+:lugging">.766,bases:262,double_plays:15,hit_by_pitch:5,sac_hits:0,sac_flies:11,intentional_walks:5
pos:LF,name:Bobby Higginson,age:26,games:146,plate_appearances:623,at_bats:546,runs:94,hits:163,doubles:30,triples:5,home_runs:27,runs_batted_in:101,stolen_bases:12,caught_stealing:7,walks:70,strikeouts:85,batting_avg:.299,onbase:.379,slugging:.520,ops:erc">.520,ops+:lugging">.899,bases:284,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:2
pos:CF,name:Brian Hunter,age:26,games:162,plate_appearances:738,at_bats:658,runs:112,hits:177,doubles:29,triples:7,home_runs:4,runs_batted_in:45,stolen_bases:74,caught_stealing:18,walks:66,strikeouts:121,batting_avg:.269,onbase:.334,slugging:.353,ops:erc">.353,ops+:lugging">.687,bases:232,double_plays:13,hit_by_pitch:1,sac_hits:8,sac_flies:5,intentional_walks:1
pos:RF,name:Melvin Nieves,age:25,games:116,plate_appearances:405,at_bats:359,runs:46,hits:82,doubles:18,triples:1,home_runs:20,runs_batted_in:64,stolen_bases:1,caught_stealing:7,walks:39,strikeouts:157,batting_avg:.228,onbase:.311,slugging:.451,ops:erc">.451,ops+:lugging">.762,bases:162,double_plays:3,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:6
pos:DH,name:Bob Hamelin,age:29,games:110,plate_appearances:370,at_bats:318,runs:47,hits:86,doubles:15,triples:0,home_runs:18,runs_batted_in:52,stolen_bases:2,caught_stealing:1,walks:48,strikeouts:72,batting_avg:.270,onbase:.366,slugging:.487,ops:erc">.487,ops+:lugging">.853,bases:155,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:3
pos:LF,name:Phil Nevin,age:26,games:93,plate_appearances:278,at_bats:251,runs:32,hits:59,doubles:16,triples:1,home_runs:9,runs_batted_in:35,stolen_bases:0,caught_stealing:1,walks:25,strikeouts:68,batting_avg:.235,onbase:.306,slugging:.414,ops:erc">.414,ops+:lugging">.720,bases:104,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:LF,name:Curtis Pride,age:28,games:79,plate_appearances:190,at_bats:162,runs:21,hits:34,doubles:4,triples:4,home_runs:2,runs_batted_in:19,stolen_bases:6,caught_stealing:4,walks:24,strikeouts:45,batting_avg:.210,onbase:.314,slugging:.321,ops:erc">.321,ops+:lugging">.635,bases:52,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:1
