pos:C,name:Chris Snyder,age:24,games:115,plate_appearances:373,at_bats:326,runs:24,hits:66,doubles:14,triples:0,home_runs:6,runs_batted_in:28,stolen_bases:0,caught_stealing:1,walks:40,strikeouts:87,batting_avg:.202,onbase:.297,slugging:.301,ops:erc">.301,ops+:lugging">.598,bases:98,double_plays:6,hit_by_pitch:4,sac_hits:3,sac_flies:0,intentional_walks:5
pos:1B,name:Chad Tracy,age:25,games:145,plate_appearances:553,at_bats:503,runs:73,hits:155,doubles:34,triples:4,home_runs:27,runs_batted_in:72,stolen_bases:3,caught_stealing:1,walks:35,strikeouts:78,batting_avg:.308,onbase:.359,slugging:.553,ops:erc">.553,ops+:lugging">.911,bases:278,double_plays:10,hit_by_pitch:8,sac_hits:1,sac_flies:6,intentional_walks:4
pos:2B,name:Craig Counsell,age:34,games:150,plate_appearances:670,at_bats:578,runs:85,hits:148,doubles:34,triples:4,home_runs:9,runs_batted_in:42,stolen_bases:26,caught_stealing:7,walks:78,strikeouts:69,batting_avg:.256,onbase:.350,slugging:.375,ops:erc">.375,ops+:lugging">.726,bases:217,double_plays:8,hit_by_pitch:8,sac_hits:2,sac_flies:4,intentional_walks:4
pos:SS,name:Royce Clayton,age:35,games:143,plate_appearances:573,at_bats:522,runs:59,hits:141,doubles:28,triples:4,home_runs:2,runs_batted_in:44,stolen_bases:13,caught_stealing:3,walks:38,strikeouts:105,batting_avg:.270,onbase:.320,slugging:.351,ops:erc">.351,ops+:lugging">.670,bases:183,double_plays:19,hit_by_pitch:1,sac_hits:10,sac_flies:2,intentional_walks:0
pos:3B,name:Troy Glaus,age:28,games:149,plate_appearances:634,at_bats:538,runs:78,hits:139,doubles:29,triples:1,home_runs:37,runs_batted_in:97,stolen_bases:4,caught_stealing:2,walks:84,strikeouts:145,batting_avg:.258,onbase:.363,slugging:.522,ops:erc">.522,ops+:lugging">.885,bases:281,double_plays:7,hit_by_pitch:7,sac_hits:0,sac_flies:5,intentional_walks:2
pos:LF,name:Luis Gonzalez,age:37,games:155,plate_appearances:672,at_bats:579,runs:90,hits:157,doubles:37,triples:0,home_runs:24,runs_batted_in:79,stolen_bases:4,caught_stealing:1,walks:78,strikeouts:90,batting_avg:.271,onbase:.366,slugging:.459,ops:erc">.459,ops+:lugging">.825,bases:266,double_plays:14,hit_by_pitch:11,sac_hits:0,sac_flies:4,intentional_walks:12
pos:CF,name:Luis Terrero,age:25,games:88,plate_appearances:184,at_bats:161,runs:23,hits:37,doubles:6,triples:1,home_runs:4,runs_batted_in:20,stolen_bases:3,caught_stealing:2,walks:14,strikeouts:40,batting_avg:.230,onbase:.313,slugging:.354,ops:erc">.354,ops+:lugging">.667,bases:57,double_plays:5,hit_by_pitch:6,sac_hits:2,sac_flies:1,intentional_walks:0
pos:RF,name:Shawn Green,age:32,games:158,plate_appearances:656,at_bats:581,runs:87,hits:166,doubles:37,triples:4,home_runs:22,runs_batted_in:73,stolen_bases:8,caught_stealing:4,walks:62,strikeouts:95,batting_avg:.286,onbase:.355,slugging:.477,ops:erc">.477,ops+:lugging">.832,bases:277,double_plays:18,hit_by_pitch:5,sac_hits:0,sac_flies:8,intentional_walks:6
pos:1B,name:Tony Clark,age:33,games:130,plate_appearances:393,at_bats:349,runs:47,hits:106,doubles:22,triples:2,home_runs:30,runs_batted_in:87,stolen_bases:0,caught_stealing:0,walks:37,strikeouts:88,batting_avg:.304,onbase:.366,slugging:.636,ops:erc">.636,ops+:lugging">1.003,bases:222,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:6,intentional_walks:6
pos:IF,name:Alex Cintron,age:26,games:122,plate_appearances:348,at_bats:330,runs:36,hits:90,doubles:19,triples:2,home_runs:8,runs_batted_in:48,stolen_bases:1,caught_stealing:2,walks:12,strikeouts:33,batting_avg:.273,onbase:.298,slugging:.415,ops:erc">.415,ops+:lugging">.713,bases:137,double_plays:8,hit_by_pitch:1,sac_hits:2,sac_flies:3,intentional_walks:3
pos:CF,name:Quinton McCracken,age:34,games:134,plate_appearances:246,at_bats:215,runs:23,hits:51,doubles:4,triples:3,home_runs:1,runs_batted_in:13,stolen_bases:4,caught_stealing:0,walks:23,strikeouts:35,batting_avg:.237,onbase:.313,slugging:.298,ops:erc">.298,ops+:lugging">.610,bases:64,double_plays:4,hit_by_pitch:1,sac_hits:6,sac_flies:1,intentional_walks:4
pos:CF,name:Jose Cruz,age:31,games:64,plate_appearances:245,at_bats:202,runs:23,hits:43,doubles:9,triples:0,home_runs:12,runs_batted_in:28,stolen_bases:0,caught_stealing:1,walks:42,strikeouts:54,batting_avg:.213,onbase:.347,slugging:.436,ops:erc">.436,ops+:lugging">.783,bases:88,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:Kelly Stinnett,age:35,games:59,plate_appearances:143,at_bats:129,runs:15,hits:32,doubles:4,triples:0,home_runs:6,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:32,batting_avg:.248,onbase:.317,slugging:.419,ops:erc">.419,ops+:lugging">.736,bases:54,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:3
pos:1B,name:Conor Jackson,age:23,games:40,plate_appearances:99,at_bats:85,runs:8,hits:17,doubles:3,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:11,batting_avg:.200,onbase:.303,slugging:.306,ops:erc">.306,ops+:lugging">.609,bases:26,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Koyie Hill,age:26,games:34,plate_appearances:91,at_bats:78,runs:6,hits:17,doubles:5,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:11,strikeouts:27,batting_avg:.218,onbase:.308,slugging:.282,ops:erc">.282,ops+:lugging">.590,bases:22,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:UT,name:Andy Green,age:27,games:17,plate_appearances:39,at_bats:31,runs:5,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:3,batting_avg:.226,onbase:.359,slugging:.258,ops:erc">.258,ops+:lugging">.617,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:2B,name:Matt Kata,age:27,games:30,plate_appearances:38,at_bats:31,runs:6,hits:6,doubles:2,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:4,batting_avg:.194,onbase:.306,slugging:.323,ops:erc">.323,ops+:lugging">.628,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
