pos:C,name:Brian Schneider,age:28,games:116,plate_appearances:408,at_bats:369,runs:38,hits:99,doubles:20,triples:1,home_runs:10,runs_batted_in:44,stolen_bases:1,caught_stealing:0,walks:29,strikeouts:48,batting_avg:.268,onbase:.330,slugging:.409,ops:erc">.409,ops+:lugging">.739,bases:151,double_plays:10,hit_by_pitch:6,sac_hits:2,sac_flies:2,intentional_walks:7
pos:1B,name:Nick Johnson,age:26,games:131,plate_appearances:547,at_bats:453,runs:66,hits:131,doubles:35,triples:3,home_runs:15,runs_batted_in:74,stolen_bases:3,caught_stealing:8,walks:80,strikeouts:87,batting_avg:.289,onbase:.408,slugging:.479,ops:erc">.479,ops+:lugging">.887,bases:217,double_plays:15,hit_by_pitch:12,sac_hits:0,sac_flies:2,intentional_walks:8
pos:2B,name:Jose Vidro,age:30,games:87,plate_appearances:347,at_bats:309,runs:38,hits:85,doubles:21,triples:2,home_runs:7,runs_batted_in:32,stolen_bases:0,caught_stealing:0,walks:31,strikeouts:30,batting_avg:.275,onbase:.339,slugging:.424,ops:erc">.424,ops+:lugging">.763,bases:131,double_plays:8,hit_by_pitch:1,sac_hits:2,sac_flies:4,intentional_walks:3
pos:SS,name:Cristian Guzman,age:27,games:142,plate_appearances:492,at_bats:456,runs:39,hits:100,doubles:19,triples:6,home_runs:4,runs_batted_in:31,stolen_bases:7,caught_stealing:4,walks:25,strikeouts:76,batting_avg:.219,onbase:.260,slugging:.314,ops:erc">.314,ops+:lugging">.574,bases:143,double_plays:12,hit_by_pitch:1,sac_hits:8,sac_flies:2,intentional_walks:6
pos:3B,name:Vinny Castilla,age:37,games:142,plate_appearances:549,at_bats:494,runs:53,hits:125,doubles:36,triples:1,home_runs:12,runs_batted_in:66,stolen_bases:4,caught_stealing:2,walks:43,strikeouts:82,batting_avg:.253,onbase:.319,slugging:.403,ops:erc">.403,ops+:lugging">.722,bases:199,double_plays:16,hit_by_pitch:7,sac_hits:1,sac_flies:4,intentional_walks:7
pos:LF,name:Marlon Byrd,age:27,games:74,plate_appearances:244,at_bats:216,runs:20,hits:57,doubles:15,triples:2,home_runs:2,runs_batted_in:26,stolen_bases:5,caught_stealing:1,walks:18,strikeouts:47,batting_avg:.264,onbase:.318,slugging:.380,ops:erc">.380,ops+:lugging">.698,bases:82,double_plays:5,hit_by_pitch:1,sac_hits:5,sac_flies:4,intentional_walks:1
pos:CF,name:Brad Wilkerson,age:28,games:148,plate_appearances:661,at_bats:565,runs:76,hits:140,doubles:42,triples:7,home_runs:11,runs_batted_in:57,stolen_bases:8,caught_stealing:10,walks:84,strikeouts:147,batting_avg:.248,onbase:.351,slugging:.405,ops:erc">.405,ops+:lugging">.756,bases:229,double_plays:6,hit_by_pitch:7,sac_hits:3,sac_flies:2,intentional_walks:9
pos:RF,name:Jose Guillen,age:29,games:148,plate_appearances:611,at_bats:551,runs:81,hits:156,doubles:32,triples:2,home_runs:24,runs_batted_in:76,stolen_bases:1,caught_stealing:1,walks:31,strikeouts:102,batting_avg:.283,onbase:.338,slugging:.479,ops:erc">.479,ops+:lugging">.817,bases:264,double_plays:14,hit_by_pitch:19,sac_hits:1,sac_flies:9,intentional_walks:6
pos:MI,name:Jamey Carroll,age:31,games:113,plate_appearances:358,at_bats:303,runs:44,hits:76,doubles:8,triples:1,home_runs:0,runs_batted_in:22,stolen_bases:3,caught_stealing:4,walks:34,strikeouts:55,batting_avg:.251,onbase:.333,slugging:.284,ops:erc">.284,ops+:lugging">.617,bases:86,double_plays:2,hit_by_pitch:5,sac_hits:13,sac_flies:3,intentional_walks:1
pos:OF,name:Ryan Church,age:26,games:102,plate_appearances:301,at_bats:268,runs:41,hits:77,doubles:15,triples:3,home_runs:9,runs_batted_in:42,stolen_bases:3,caught_stealing:2,walks:24,strikeouts:70,batting_avg:.287,onbase:.353,slugging:.466,ops:erc">.466,ops+:lugging">.820,bases:125,double_plays:6,hit_by_pitch:5,sac_hits:1,sac_flies:3,intentional_walks:0
pos:CF,name:Preston Wilson,age:30,games:68,plate_appearances:280,at_bats:253,runs:34,hits:66,doubles:14,triples:1,home_runs:10,runs_batted_in:43,stolen_bases:3,caught_stealing:4,walks:20,strikeouts:71,batting_avg:.261,onbase:.329,slugging:.443,ops:erc">.443,ops+:lugging">.771,bases:112,double_plays:10,hit_by_pitch:6,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Gary Bennett,age:33,games:68,plate_appearances:228,at_bats:199,runs:11,hits:44,doubles:7,triples:0,home_runs:1,runs_batted_in:21,stolen_bases:0,caught_stealing:1,walks:21,strikeouts:37,batting_avg:.221,onbase:.298,slugging:.271,ops:erc">.271,ops+:lugging">.569,bases:54,double_plays:7,hit_by_pitch:2,sac_hits:3,sac_flies:3,intentional_walks:3
pos:IF,name:Carlos Baerga,age:36,games:93,plate_appearances:174,at_bats:158,runs:18,hits:40,doubles:7,triples:0,home_runs:2,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:17,batting_avg:.253,onbase:.318,slugging:.335,ops:erc">.335,ops+:lugging">.653,bases:53,double_plays:4,hit_by_pitch:8,sac_hits:1,sac_flies:0,intentional_walks:0
pos:2B,name:Junior Spivey,age:30,games:28,plate_appearances:91,at_bats:77,runs:15,hits:17,doubles:7,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:2,caught_stealing:0,walks:11,strikeouts:26,batting_avg:.221,onbase:.330,slugging:.390,ops:erc">.390,ops+:lugging">.719,bases:30,double_plays:0,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:UT,name:Tony Blanco,age:23,games:56,plate_appearances:65,at_bats:62,runs:7,hits:11,doubles:3,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:19,batting_avg:.177,onbase:.215,slugging:.274,ops:erc">.274,ops+:lugging">.490,bases:17,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Ryan Zimmerman,age:20,games:20,plate_appearances:62,at_bats:58,runs:6,hits:23,doubles:10,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:12,batting_avg:.397,onbase:.419,slugging:.569,ops:erc">.569,ops+:lugging">.988,bases:33,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Wil Cordero,age:33,games:29,plate_appearances:56,at_bats:51,runs:2,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.118,onbase:.161,slugging:.157,ops:erc">.157,ops+:lugging">.318,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:MI,name:Deivi Cruz,age:32,games:20,plate_appearances:54,at_bats:51,runs:2,hits:13,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.255,onbase:.283,slugging:.275,ops:erc">.275,ops+:lugging">.558,bases:14,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:LF,name:Brandon Watson,age:23,games:25,plate_appearances:48,at_bats:40,runs:8,hits:7,doubles:1,triples:1,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:2,walks:4,strikeouts:8,batting_avg:.175,onbase:.250,slugging:.325,ops:erc">.325,ops+:lugging">.575,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:LF,name:Terrmel Sledge,age:28,games:20,plate_appearances:46,at_bats:37,runs:7,hits:9,doubles:0,triples:1,home_runs:1,runs_batted_in:8,stolen_bases:2,caught_stealing:1,walks:7,strikeouts:8,batting_avg:.243,onbase:.348,slugging:.378,ops:erc">.378,ops+:lugging">.726,bases:14,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:OF,name:Jeffrey Hammonds,age:34,games:13,plate_appearances:37,at_bats:32,runs:3,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.219,onbase:.286,slugging:.250,ops:erc">.250,ops+:lugging">.536,bases:8,double_plays:0,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:1
pos:OF,name:J.J. Davis,age:26,games:14,plate_appearances:28,at_bats:26,runs:0,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:7,batting_avg:.231,onbase:.286,slugging:.231,ops:erc">.231,ops+:lugging">.516,bases:6,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Matthew Cepicky,age:27,games:11,plate_appearances:26,at_bats:25,runs:1,hits:6,doubles:3,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:8,batting_avg:.240,onbase:.269,slugging:.360,ops:erc">.360,ops+:lugging">.629,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Rick Short,age:32,games:11,plate_appearances:17,at_bats:15,runs:4,hits:6,doubles:2,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.400,onbase:.471,slugging:.933,ops:erc">.933,ops+:lugging">1.404,bases:14,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Endy Chavez,age:27,games:7,plate_appearances:12,at_bats:9,runs:2,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:3,strikeouts:1,batting_avg:.222,onbase:.417,slugging:.333,ops:erc">.333,ops+:lugging">.750,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Brendan Harris,age:24,games:4,plate_appearances:10,at_bats:9,runs:1,hits:3,doubles:1,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.333,onbase:.400,slugging:.778,ops:erc">.778,ops+:lugging">1.178,bases:7,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Kenny Kelly,age:26,games:17,plate_appearances:5,at_bats:4,runs:3,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:1,walks:1,strikeouts:3,batting_avg:.250,onbase:.400,slugging:.500,ops:erc">.500,ops+:lugging">.900,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Keith Osik,age:36,games:6,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Tyrell Godwin,age:25,games:3,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
